team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,109,205,3136,18.8,22,5,5,10,44,0,0,0,3,1,0,37,807,1006.0,9,3,479.6,61,5,1369.0,9,7,285.2,11,5,22.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,92,118,1867,12.8,10,7,2,5,25,0,0,0,8,0,0,16,387,536.4,112,15,337.7,124,19,861.0,35,19,173.8,50,19,2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,43,25,628,5.8,2,0,0,3,9,0,0,0,0,1,0,1,66,90.4,389,48,67.0,319,49,210.0,191,52,36.4,340,51,1.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,48,114,2649,23.8,0,0,1,7,39,0,1,0,2,0,113,10,591,843.2,25,8,0.0,635,66,0.0,629,63,84.1,190,8,4.2
3.0,3.0,95.0,167.0,2841.0,17.6,8.0,11.0,3.0,12.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,729.0,834.4,1649.3,734.0,322.0,7.5,Mesut,Özil,3.0,3.0,93.0,112.0,2161.0,12.0,4.0,9.0,2.0,8.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,506.0,640.6,1287.5,555.0,248.6,2.1,3.0,3.0,79.0,89.0,1732.0,11.3,5.0,3.0,2.0,5.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,363.0,429.6,714.2,254.0,140.0,2.6,3,3,69,53,1439,7.7,1,3,0,5,20,0,0,0,1,0,0,1,256,223.6,300,126,582.9,39,32,190.0,205,110,99.8,153,79,1.1
1.0,3.0,87.0,73.0,1348.0,8.4,4.0,1.0,1.0,10.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,279.0,325.8,512.2,427.0,126.2,2.1,Henrikh,Mkhitaryan,3.0,3.0,77.0,107.0,1712.0,13.9,3.0,9.0,3.0,12.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,411.0,506.8,727.8,400.0,163.8,7.5,3.0,3.0,66.0,98.0,1637.0,14.8,6.0,4.0,4.0,3.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,354.0,446.4,454.9,600.0,150.2,4.6,3,3,67,4,110,0.6,0,0,0,1,0,0,0,0,1,0,0,0,3,5.4,480,203,33.9,371,184,46.0,355,170,8.6,431,185,0.7
3.0,3.0,52.0,85.0,2483.0,16.3,2.0,3.0,1.0,10.0,32.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,506.0,488.8,626.2,193.0,130.8,3.2,Granit,Xhaka,3.0,3.0,51.0,109.0,3259.0,21.4,1.0,8.0,1.0,12.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,593.0,753.4,822.8,378.0,195.3,7.0,3.0,3.0,52.0,90.0,2498.0,17.3,4.0,3.0,1.0,7.0,37.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,452.0,634.6,674.0,215.0,152.6,2.3,3,3,51,73,2586,14.3,1,2,0,10,31,0,0,0,10,0,0,2,408,486.2,140,53,298.5,140,86,110.0,267,136,89.9,177,90,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,46,1501,9.8,1,1,0,3,23,0,0,0,7,0,0,0,247,281.8,254,103,207.1,194,122,207.0,195,104,69.7,234,115,1.0
3.0,3.0,45.0,26.0,694.0,5.8,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,133.0,89.0,108.6,116.0,31.1,0.4,Mohamed,Elneny,3.0,3.0,42.0,22.0,865.0,5.2,0.0,1.0,0.0,3.0,12.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,156.0,138.2,194.4,92.0,42.5,3.0,3.0,3.0,42.0,10.0,377.0,2.4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,86.6,76.7,63.0,22.7,2.2,3,3,42,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.0,567,219,0.0,551,220,0.0,525,209,0.0,569,222,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,41,48,1744,11.7,0,2,0,3,31,0,0,0,6,0,0,2,272,333.6,222,90,235.1,177,111,146.0,240,126,71.6,225,112,7.1
8.0,2.0,62.0,132.0,2954.0,21.3,1.0,1.0,1.0,15.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,675.0,651.0,158.1,280.0,109.1,5.0,David,Luiz Moreira Marinho,8.0,2.0,57.0,32.0,838.0,5.6,1.0,2.0,0.0,3.0,13.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,186.0,210.2,22.3,65.0,29.6,8.1,8.0,2.0,58.0,164.0,3238.0,28.3,3.0,2.0,4.0,16.0,36.0,0.0,0.0,0.0,3.0,0.0,0.0,19.0,794.0,859.0,358.7,363.0,158.0,11.7,3,2,57,94,2809,16.5,2,1,2,8,42,0,0,0,5,2,0,10,494,701.6,53,18,106.7,271,78,211.0,190,37,102.1,148,39,5.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,44,33,770,7.5,0,0,0,3,9,0,0,0,2,0,34,1,169,256.8,272,23,0.0,575,56,0.0,557,51,25.8,372,23,3.8
25.0,2.0,43.0,83.0,2250.0,19.3,2.0,1.0,0.0,7.0,37.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,499.0,692.2,107.0,80.0,88.0,3.4,Calum,Chambers,3.0,2.0,47.0,23.0,864.0,4.9,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,171.0,227.8,40.0,134.0,40.2,0.4,54.0,2.0,42.0,60.0,2586.0,14.3,2.0,0.0,0.0,5.0,52.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,431.0,609.0,231.9,401.0,124.5,1.1,3,2,43,42,1102,9.8,1,1,0,3,15,0,0,0,5,0,0,5,197,272.0,261,103,113.5,262,74,203.0,199,41,58.7,274,87,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,52,57,1687,11.0,0,2,1,7,21,0,0,0,1,0,0,3,310,346.4,215,88,439.9,79,55,130.0,250,129,91.7,172,86,3.0
20.0,2.0,49.0,102.0,2515.0,20.8,0.0,3.0,1.0,11.0,36.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,584.0,591.0,648.9,155.0,139.6,2.7,Cédric,Soares,20.0,2.0,47.0,85.0,2794.0,18.1,0.0,3.0,1.0,7.0,44.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,481.0,507.0,455.6,159.0,112.3,4.0,20.0,2.0,42.0,52.0,1493.0,12.4,1.0,2.0,1.0,4.0,31.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,273.0,309.0,226.5,103.0,63.9,2.1,3,2,48,61,1553,12.7,1,1,0,4,20,0,0,0,1,0,0,3,286,349.0,214,81,218.9,186,42,118.0,265,75,68.7,237,70,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,89,106,2004,11.9,5,6,2,5,30,0,0,0,4,0,0,9,353,500.2,135,49,639.4,29,23,624.0,57,30,176.5,49,27,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,53,30,622,5.7,1,1,0,2,7,0,0,0,1,0,0,0,105,110.4,373,155,148.3,241,141,185.0,210,114,44.4,320,144,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,41,838,8.7,1,1,0,1,16,0,0,0,2,0,0,0,150,176.8,329,139,165.9,224,134,212.0,188,102,55.2,282,136,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,42,39,656,9.3,3,1,0,2,9,0,0,0,1,0,0,5,129,162.8,337,41,36.6,366,54,226.0,177,49,42.5,327,48,1.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,53,42,986,7.9,1,2,1,2,16,0,0,0,2,0,0,4,213,201.8,312,120,121.1,258,71,73.0,317,107,39.8,333,118,1.1
