team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19
3.0,3.0,76.0,56.0,1236.0,7.4,1.0,4.0,0.0,4.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,240.0,257.2,361.2,496.0,111.3,1.1,Aaron,Ramsey,3.0,3.0,68.0,130.0,1844.0,19.1,7.0,10.0,3.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,503.0,631.2,478.3,734.0,184.2,4.5,3,3,71,91,1319,12.8,4,6,0,9,13,0,0,0,0,0,0,4,298,418.4,387.2,502.0,131.0,0.9
3.0,3.0,53.0,89.0,1456.0,16.8,3.0,5.0,1.0,9.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,352.0,326.4,467.8,592.0,138.7,1.1,Alex,Iwobi,3.0,3.0,51.0,89.0,1827.0,17.5,3.0,5.0,0.0,9.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,426.0,430.0,592.9,635.0,165.6,1.0,3,3,54,99,1961,18.3,3,8,0,4,32,0,0,0,0,0,0,3,382,469.0,596.7,646.0,171.1,1.5
3.0,3.0,45.0,26.0,694.0,5.8,0.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,133.0,89.0,108.6,116.0,31.1,0.4,Mohamed,Elneny,3.0,3.0,42.0,22.0,865.0,5.2,0.0,1.0,0.0,3.0,12.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,156.0,138.2,194.4,92.0,42.5,3.0,3,3,42,10,377,2.4,0,0,0,0,5,0,0,0,0,0,0,0,59,86.6,76.7,63.0,22.7,2.2
3.0,3.0,52.0,85.0,2483.0,16.3,2.0,3.0,1.0,10.0,32.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,506.0,488.8,626.2,193.0,130.8,3.2,Granit,Xhaka,3.0,3.0,51.0,109.0,3259.0,21.4,1.0,8.0,1.0,12.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,593.0,753.4,822.8,378.0,195.3,7.0,3,3,52,90,2498,17.3,4,3,1,7,37,0,0,0,10,0,0,8,452,634.6,674.0,215.0,152.6,2.3
1.0,3.0,87.0,73.0,1348.0,8.4,4.0,1.0,1.0,10.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,279.0,325.8,512.2,427.0,126.2,2.1,Henrikh,Mkhitaryan,3.0,3.0,77.0,107.0,1712.0,13.9,3.0,9.0,3.0,12.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,411.0,506.8,727.8,400.0,163.8,7.5,3,3,66,98,1637,14.8,6,4,4,3,26,0,0,0,1,0,0,12,354,446.4,454.9,600.0,150.2,4.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,44,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4
3.0,3.0,45.0,1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.2,0.0,0.0,0.2,0.0,Ainsley,Maitland-Niles,3.0,3.0,45.0,25.0,908.0,5.6,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,160.0,168.4,141.3,67.0,37.8,0.1,3,3,44,34,983,7.7,1,1,0,2,20,0,0,0,1,1,0,3,152,224.2,98.9,126.0,44.8,0.4
3.0,4.0,73.0,37.0,748.0,5.1,2.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,144.8,89.9,321.0,55.5,0.8,Danny,Welbeck,3.0,4.0,73.0,70.0,1178.0,9.6,5.0,2.0,2.0,4.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,249.0,309.8,212.8,435.0,96.0,1.2,3,4,64,19,146,3.0,1,1,0,0,3,0,0,0,0,0,0,3,63,73.6,56.8,66.0,19.5,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,94,166,2497,17.7,13,12,1,6,31,0,0,0,2,0,0,20,560,808.0,482.4,1319.0,260.6,11.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,108,205,2722,19.0,22,7,5,7,42,0,0,1,0,0,0,32,756,984.4,484.6,1429.0,289.6,18.8
