team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,team_code_20_21,element_type_20_21,now_cost_20_21,total_points_20_21,minutes_20_21,value_season_20_21,goals_scored_20_21,assists_20_21,dreamteam_count_20_21,clean_sheets_20_21,goals_conceded_20_21,own_goals_20_21,penalties_saved_20_21,penalties_missed_20_21,yellow_cards_20_21,red_cards_20_21,saves_20_21,bonus_20_21,bps_20_21,influence_20_21,influence_rank_20_21,influence_rank_type_20_21,creativity_20_21,creativity_rank_20_21,creativity_rank_type_20_21,threat_20_21,threat_rank_20_21,threat_rank_type_20_21,ict_index_20_21,ict_index_rank_20_21,ict_index_rank_type_20_21,selected_by_percent_20_21,first_name,second_name
3,2,65,119,2503,18.3,1,5,2,10,34,0,0,0,4,0,0,12,569,437.6,508.3,395,133.8,13.9,3,2,59,132,3050,22.4,2,4,2,12,44,0,0,0,5,0,0,11,656,554,561,484,160.1,10.3,3,2,53,60,1532,11.3,0,5,0,4,21,1,0,0,3,0,0,5,304,261.6,197.8,280,73.7,4.5,3,2,52,44,1156,8.5,1,0,0,4,18,0,0,0,2,0,0,4,204,187.8,322,124,76.9,301,95,103,275,81,37,339,122,1,3,2,50,94,2089,18.8,1,3,3,7,24,0,0,0,8,0,0,17,421,362.8,204,81,351.8,107,22,232,170,32,94.7,158,39,3.5,Héctor,Bellerín
25,2,43,83,2250,19.3,2,1,0,7,37,0,0,0,4,0,0,7,499,692.2,107,80,88,3.4,3,2,47,23,864,4.9,0,0,0,2,14,0,0,0,1,0,0,0,171,227.8,40,134,40.2,0.4,54,2,42,60,2586,14.3,2,0,0,5,52,0,0,0,9,0,0,0,431,609,231.9,401,124.5,1.1,3,2,43,42,1102,9.8,1,1,0,3,15,0,0,0,5,0,0,5,197,272,261,103,113.5,262,74,203,199,41,58.7,274,87,0.6,3,2,45,36,751,8,0,3,1,2,10,0,0,0,0,0,0,3,168,171.8,313,120,169.4,209,51,77,320,108,41.9,316,108,0.2,Calum,Chambers
,,,,,,,,,,,,,,,,,,,,,,,,3,2,58,108,2146,18.6,2,4,2,10,30,0,0,0,3,0,0,6,510,443.2,334.9,404,118.3,6.1,3,2,49,81,1886,16.5,0,7,1,5,29,1,0,0,5,0,0,10,382,323.2,445.9,242,101,5.4,3,2,52,55,1694,10.6,0,2,0,4,26,0,0,0,4,0,0,1,331,269.6,264,104,182.5,215,52,81,305,98,53,293,96,0.5,3,2,48,2,90,0.4,0,0,0,0,1,0,0,0,0,0,0,0,9,3.6,487,179,5.4,439,167,4,435,164,1.3,487,179,0.1,Sead,Kolasinac
3,2,41,32,810,7.8,0,0,1,4,8,0,0,0,3,0,0,3,171,172,49.2,100,32.2,3.3,3,2,44,27,819,6.1,0,1,0,3,17,0,0,0,3,0,0,1,196,212.2,39.3,24,27.5,0.7,3,2,43,24,806,5.6,0,0,0,1,10,0,0,0,1,0,0,5,148,187.8,28.7,14,23.2,0.4,3,2,44,16,580,3.6,0,0,0,1,9,0,0,0,1,0,0,2,96,133.6,355,138,4.8,441,164,19,396,145,15.8,407,150,0.2,3,2,43,105,2557,24.4,0,1,1,11,26,1,0,0,2,0,0,10,536,602.6,68,24,76.1,314,97,97,288,93,77.7,211,64,4.7,Rob,Holding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,53,42,986,7.9,1,2,1,2,16,0,0,0,2,0,0,4,213,201.8,312,120,121.1,258,71,73,317,107,39.8,333,118,1.1,3,2,52,96,2299,18.5,1,4,1,8,27,0,0,0,4,0,0,4,483,446.4,165,64,490.1,61,12,201,187,42,113.9,115,21,4.3,Kieran,Tierney
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,89,106,2004,11.9,5,6,2,5,30,0,0,0,4,0,0,9,353,500.2,135,49,639.4,29,23,624,57,30,176.5,49,27,3,3,3,77,114,1606,14.8,10,3,2,4,21,0,0,0,1,1,0,11,351,476.2,148,55,235.9,175,111,774,39,21,148.5,74,45,2.4,Nicolas,Pépé
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,78,2377,16.6,2,4,1,5,38,0,0,0,7,1,0,6,409,440.8,301,203,94.5,2.6,3,3,47,46,1501,9.8,1,1,0,3,23,0,0,0,7,0,0,0,247,281.8,254,103,207.1,194,122,207,195,104,69.7,234,115,1,3,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,279,0,669,279,0,662,277,0,680,279,0.1,Lucas,Torreira
,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,5,144,1.1,0,0,0,0,3,0,0,0,0,0,0,0,23,12,29.7,11,5.3,0,3,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3,3,53,30,622,5.7,1,1,0,2,7,0,0,0,1,0,0,0,105,110.4,373,155,148.3,241,141,185,210,114,44.4,320,144,0.1,3,3,51,2,70,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,4.2,485,204,9.7,425,196,10,412,190,2.4,470,200,0,Reiss,Nelson
,,,,,,,,,,,,,,,,,,,,,,,,3,4,50,3,17,0.6,0,0,0,0,1,0,0,0,0,0,0,0,10,5,1.9,17,2.3,0,3,4,50,10,63,2,1,0,0,0,3,0,0,0,0,0,0,1,36,40.8,14.7,59,11.4,0,3,4,43,25,628,5.8,2,0,0,3,9,0,0,0,0,1,0,1,66,90.4,389,48,67,319,49,210,191,52,36.4,340,51,1.6,3,4,53,36,411,6.8,2,1,0,1,6,0,0,0,0,0,0,5,120,116.6,359,43,97.3,276,43,211,181,46,42.1,314,46,0.5,Edward,Nketiah
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,43,4,96,0.9,0,0,0,1,0,0,0,0,0,0,0,0,13,9.8,467,195,6.3,435,197,0,546,217,1.6,482,202,0,3,3,42,74,1438,17.6,2,5,1,9,10,0,0,0,0,0,0,3,308,273.2,251,107,385.1,92,65,222,175,95,88.1,175,97,3.5,Emile,Smith Rowe
