team_code_21_22,element_type_21_22,now_cost_21_22,total_points_21_22,minutes_21_22,value_season_21_22,goals_scored_21_22,assists_21_22,dreamteam_count_21_22,clean_sheets_21_22,goals_conceded_21_22,own_goals_21_22,penalties_saved_21_22,penalties_missed_21_22,yellow_cards_21_22,red_cards_21_22,saves_21_22,bonus_21_22,bps_21_22,influence_21_22,influence_rank_21_22,influence_rank_type_21_22,creativity_21_22,creativity_rank_21_22,creativity_rank_type_21_22,threat_21_22,threat_rank_21_22,threat_rank_type_21_22,ict_index_21_22,ict_index_rank_21_22,ict_index_rank_type_21_22,selected_by_percent_21_22
3,1,51,135,3060,26.5,0,0,3,12,39,0,0,0,1,0,90,14,641,680.0,53,13,1.0,470,14,0.0,712,76,68.0,250,13,17.1
3,1,39,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,525,50,0.0,508,26,0.0,474,11,0.0,529,50,0.8
3,2,45,75,1680,16.7,0,1,1,9,20,0,0,0,2,0,0,5,344,312.4,231,89,240.9,171,39,110.0,288,87,66.4,255,82,1.9
3,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,663,262,0.0,659,263,0.0,648,263,0.0,664,262,0.0
3,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,691,285,0.0,688,286,0.0,676,286,0.0,691,285,0.0
3,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,690,284,0.0,687,285,0.0,675,285,0.0,690,284,0.0
3,4,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,658,75,0.0,654,77,0.0,643,75,0.0,659,76,0.2
3,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,569,215,0.0,557,215,0.0,525,209,0.0,573,215,0.0
3,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,578,222,0.0,566,222,0.0,534,216,0.0,582,222,0.0
3,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,551,203,0.0,538,202,0.0,505,195,0.0,555,203,0.0
3,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,565,211,0.0,553,211,0.0,521,205,0.0,569,211,0.0
3,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,685,279,0.0,682,280,0.0,670,280,0.0,685,279,0.0
3,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,656,258,0.0,652,259,0.0,640,258,0.0,657,258,0.0
3,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,566,212,0.0,554,212,0.0,522,206,0.0,570,212,0.0
7,2,42,42,999,10.0,1,0,1,4,16,0,0,0,1,0,0,2,198,211.0,301,114,52.8,346,121,61.0,340,117,32.5,349,124,0.4
7,1,39,1,90,0.3,0,0,0,0,3,0,0,0,0,0,1,0,13,8.2,484,41,0.0,503,22,0.0,469,7,0.8,498,41,1.7
7,3,49,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,703,291,0.0,703,292,0.0,692,292,0.0,703,291,0.0
7,1,55,129,3240,23.5,0,0,2,11,48,0,1,0,4,0,95,7,651,755.8,26,9,0.0,723,81,0.0,722,80,75.4,227,11,11.4
7,2,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,619,237,0.0,615,237,0.0,600,236,0.0,622,237,0.0
7,3,57,13,212,2.3,0,1,0,0,3,0,0,0,0,0,0,0,41,21.0,459,197,10.6,434,208,90.0,311,158,11.8,423,189,0.3
7,3,50,13,349,2.6,0,0,0,0,8,0,0,0,0,0,0,0,61,52.8,424,180,36.6,374,187,3.0,441,212,9.4,432,194,0.0
7,3,56,110,3090,19.6,3,4,2,10,48,0,0,0,8,0,0,12,495,692.8,49,20,777.4,14,12,307.0,146,80,177.8,43,29,1.1
7,2,44,20,397,4.5,1,0,1,1,9,0,0,0,0,0,0,3,89,102.8,386,152,5.9,444,164,64.0,338,116,17.3,403,149,0.2
7,3,54,1,10,0.2,0,0,0,0,1,0,0,0,0,0,0,0,4,1.8,507,221,2.0,459,217,10.0,421,202,1.4,494,216,0.0
7,2,50,118,3188,23.6,1,4,3,11,49,0,0,0,11,0,0,12,596,649.2,62,21,130.9,255,71,309.0,143,21,108.8,127,28,6.9
7,4,75,131,2950,17.5,11,3,1,10,48,0,0,0,7,0,0,17,441,598.4,76,7,459.1,72,8,1319.0,7,3,237.7,19,5,9.1
7,3,44,22,899,5.0,0,0,0,2,20,0,0,0,5,0,0,0,124,134.0,360,148,42.1,367,182,0.0,573,224,17.8,402,178,0.1
7,3,61,107,1887,17.5,4,6,2,7,32,0,0,0,1,0,0,8,378,479.4,127,47,659.3,26,19,531.0,68,38,167.3,48,33,1.3
7,2,53,147,3377,27.7,4,3,3,13,50,0,0,0,8,0,0,11,623,709.0,44,12,432.1,82,14,517.0,73,3,165.8,50,6,11.5
7,2,49,78,2477,15.9,2,0,1,8,43,0,0,0,4,2,0,4,388,428.2,151,62,56.5,343,119,251.0,175,31,73.4,235,73,0.9
7,2,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,630,241,0.0,626,240,0.0,611,239,0.0,632,240,0.0
7,4,54,1,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,722,92,0.5,483,66,0.0,717,92,0.0,722,92,0.1
7,4,55,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,729,95,0.0,727,95,0.0,726,95,0.0,729,95,0.0
7,4,45,1,11,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,511,65,1.0,468,62,0.0,623,73,0.1,514,66,1.4
7,3,43,89,2715,20.7,2,3,0,10,38,0,0,0,7,0,0,3,468,495.2,122,44,547.5,47,34,199.0,211,114,124.3,99,59,1.9
7,3,47,109,2465,23.2,6,1,3,12,35,0,0,0,6,0,0,9,402,533.8,109,39,333.1,119,80,432.0,102,55,130.2,84,51,4.9
7,2,47,50,1234,10.6,0,2,0,4,19,1,0,0,2,0,0,0,224,187.4,320,125,201.9,193,46,113.0,284,84,50.2,303,104,0.5
7,2,50,83,2440,16.6,0,4,0,7,42,1,0,0,6,0,0,8,459,489.8,124,47,753.1,15,3,200.0,209,49,144.5,68,8,5.9
7,4,77,106,1891,13.8,7,6,1,10,26,0,0,0,4,0,0,12,344,448.6,142,13,210.9,187,28,749.0,37,14,140.3,74,18,9.3
7,3,63,37,750,5.9,1,3,0,2,13,0,0,0,3,0,0,1,98,143.2,356,145,118.5,269,151,271.0,166,93,53.2,296,133,0.4
7,3,44,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,607,230,0.0,600,232,0.0,579,229,0.0,610,231,0.2
7,3,50,1,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,717,298,0.0,716,299,0.0,710,299,0.0,717,298,0.0
7,3,45,16,291,3.6,0,1,0,0,6,0,0,0,0,0,0,0,43,44.0,432,184,34.6,376,188,69.0,329,168,14.9,416,184,0.1
7,4,45,3,24,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,655,74,0.8,472,64,18.0,406,57,1.6,492,61,0.8
7,1,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,555,63,0.0,542,43,0.0,509,28,0.0,559,63,0.1
7,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,588,230,0.0,576,230,0.0,544,224,0.0,592,230,0.1
7,3,45,4,90,0.9,0,0,0,1,0,0,0,0,1,0,0,0,17,10.6,480,208,2.0,458,216,4.0,439,211,1.7,490,214,0.0
7,1,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,570,67,0.0,558,47,0.0,526,32,0.0,574,67,0.0
7,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,590,231,0.0,578,231,0.0,546,225,0.0,594,231,0.0
7,3,71,83,1327,11.7,5,3,2,7,17,0,0,0,0,0,0,7,283,324.2,219,89,338.3,116,79,419.0,106,58,108.3,128,74,10.6
7,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,572,216,0.0,560,216,0.0,528,210,0.0,576,216,0.0
7,1,40,1,90,0.2,0,0,0,0,3,0,0,0,0,0,2,0,14,0.0,536,54,0.0,522,33,0.0,489,18,0.0,540,54,0.0
7,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,677,272,0.0,673,273,0.0,661,273,0.0,677,272,0.0
7,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,692,286,0.0,689,287,0.0,677,287,0.0,692,286,0.0
94,2,45,122,3321,27.1,3,4,1,8,56,0,0,0,7,0,0,13,616,766.4,24,5,67.1,325,105,476.0,82,7,131.4,83,13,7.0
94,3,50,101,3054,20.2,3,4,0,8,51,0,0,0,8,0,0,5,502,694.8,47,19,409.8,92,66,434.0,98,53,154.3,58,40,0.6
94,4,69,139,2908,20.1,12,5,3,8,47,0,0,0,8,0,0,19,502,717.8,39,3,572.0,45,4,1284.0,8,4,257.4,13,3,18.8
94,3,51,1,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,5.2,490,213,4.8,449,211,21.0,396,195,3.1,472,209,0.0
94,1,44,95,2160,21.6,0,0,1,8,27,0,0,0,1,0,78,5,496,575.6,84,15,10.0,439,12,0.0,570,52,58.3,272,15,4.6
94,3,55,81,2077,14.7,3,3,1,8,36,1,0,0,6,1,0,5,268,359.2,201,76,282.9,146,94,422.0,105,57,106.5,134,78,1.0
94,3,53,7,250,1.3,0,0,0,0,6,0,0,0,0,1,0,0,27,28.6,450,194,40.9,370,184,30.0,384,187,9.8,429,192,0.0
94,2,45,108,2775,24.0,3,0,1,9,41,0,0,0,2,0,0,4,453,444.8,143,58,324.4,126,24,233.0,186,37,100.1,153,35,1.2
94,3,49,90,2295,18.4,4,0,2,9,37,0,0,0,3,0,0,8,343,440.2,147,54,330.0,122,82,399.0,109,60,116.7,112,68,0.2
94,3,52,30,524,5.8,1,2,0,1,4,0,0,0,2,0,0,0,115,128.4,365,152,96.3,295,161,133.0,262,137,36.0,337,149,0.0
94,3,49,54,1590,11.0,0,1,0,3,30,0,0,0,0,0,0,2,246,242.8,278,114,508.0,60,44,181.0,224,118,93.3,174,95,0.0
94,2,39,10,448,2.6,0,0,0,1,6,0,0,0,3,0,0,0,64,54.8,420,160,82.7,308,95,24.0,390,145,16.0,408,152,1.1
94,4,53,11,203,2.1,0,1,0,0,4,0,0,0,0,0,0,0,35,20.8,460,55,12.5,424,56,55.0,349,54,8.7,440,55,0.1
94,2,41,41,1232,10.0,1,1,1,1,27,0,0,0,1,0,0,4,170,200.2,307,117,125.8,261,75,81.0,318,103,40.8,324,113,0.2
94,2,43,22,833,5.1,0,0,0,2,14,0,0,0,3,0,0,1,139,112.8,379,147,69.4,320,101,44.0,363,131,22.6,393,142,0.1
94,2,44,90,2694,20.5,1,1,1,7,43,0,0,0,1,0,0,7,517,648.8,63,22,151.7,238,64,335.0,130,14,113.5,116,23,2.7
94,1,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,552,61,0.0,539,41,0.0,506,26,0.0,556,61,0.0
94,3,44,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,605,228,0.0,599,231,0.0,577,227,0.0,608,229,0.5
94,1,39,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,528,51,0.0,511,27,0.0,478,12,0.0,532,51,1.1
94,4,54,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,723,93,0.0,720,93,0.0,718,93,0.0,723,93,0.0
94,3,52,119,2905,22.9,4,7,1,9,47,0,0,0,4,0,0,6,310,441.2,145,53,508.9,58,43,927.0,22,13,186.7,36,23,1.9
94,3,44,4,36,0.9,0,0,0,0,0,0,0,0,0,0,0,0,11,6.6,487,211,0.7,474,220,0.0,587,236,0.8,500,218,0.1
94,3,49,35,1040,7.1,0,2,0,3,19,0,0,0,4,0,0,0,117,93.0,393,164,73.5,318,171,174.0,227,120,33.7,344,152,0.1
94,2,44,81,1995,18.4,1,3,1,8,32,0,0,0,5,0,0,5,384,381.2,185,79,123.5,264,77,184.0,221,54,69.0,248,79,0.7
94,2,44,3,146,0.7,0,0,0,0,3,0,0,0,0,0,0,0,12,15.8,470,176,1.2,464,172,6.0,434,163,2.3,483,176,0.0
94,3,49,35,898,7.1,1,0,0,2,15,0,0,0,0,1,0,2,120,132.8,363,151,120.2,268,150,145.0,247,129,39.6,326,145,0.0
94,3,57,92,1268,16.1,7,2,0,3,22,0,0,0,0,0,0,6,277,318.8,225,94,105.6,282,154,379.0,118,66,79.6,212,106,0.3
94,1,45,31,1080,6.9,0,0,0,1,24,1,0,0,0,0,49,2,218,353.2,203,21,0.0,644,74,0.0,632,66,35.2,339,21,0.4
94,2,39,1,14,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,8.6,483,179,10.3,435,162,2.0,444,169,2.1,484,177,0.3
94,2,45,18,516,4.0,1,0,0,1,10,0,0,0,2,0,0,0,84,108.6,382,149,44.9,363,132,57.0,347,121,21.1,397,145,0.0
94,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,639,246,0.0,635,248,0.0,622,247,0.0,641,247,0.0
94,1,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,584,69,0.0,572,49,0.0,540,34,0.0,588,69,0.1
94,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,668,265,0.0,665,267,0.0,653,266,0.0,669,265,0.0
94,4,45,1,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,664,78,0.0,660,80,0.0,649,78,0.0,665,79,1.1
94,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,662,261,0.0,658,262,0.0,647,262,0.0,663,261,0.0
94,1,45,2,180,0.4,0,0,0,0,5,0,0,0,0,0,2,0,21,15.4,471,39,0.0,611,67,0.0,594,58,1.6,491,39,0.0
94,3,56,43,938,7.7,1,4,0,4,10,0,0,0,1,0,0,2,221,269.4,261,108,428.6,85,61,172.0,230,122,86.8,197,101,1.8
94,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,538,195,0.0,524,194,0.0,491,187,0.0,542,195,0.0
36,3,53,44,1559,8.3,0,1,0,6,20,0,0,0,4,0,0,0,240,209.4,302,127,162.9,228,135,173.0,228,121,54.6,288,127,0.1
36,1,39,2,90,0.5,0,0,0,0,2,0,0,0,0,0,3,0,17,28.8,449,35,0.0,502,21,0.0,468,6,2.9,475,35,2.8
36,3,56,88,2033,15.7,2,5,1,8,24,0,0,1,1,0,0,7,405,412.6,162,59,902.5,9,8,345.0,126,72,166.2,49,34,0.3
36,2,40,48,1434,12.0,1,1,1,4,19,0,0,0,7,0,0,3,288,380.6,186,80,58.2,340,116,282.0,159,26,72.2,238,75,7.6
36,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,618,237,0.0,613,239,0.0,596,238,0.0,621,238,0.0
36,2,48,92,2573,19.2,1,0,1,10,33,0,0,0,3,1,0,7,537,551.8,107,39,63.0,332,111,327.0,135,18,94.2,171,43,2.3
36,3,53,61,1733,11.5,0,2,0,7,23,0,0,0,1,0,0,0,216,259.6,263,110,512.0,56,41,285.0,157,87,105.6,136,79,0.1
36,2,43,59,1429,13.7,2,0,2,4,20,0,0,0,5,0,0,6,266,387.8,180,77,50.1,349,122,112.0,285,85,55.1,285,96,0.3
36,2,42,95,2874,22.6,1,1,0,8,39,0,0,0,6,0,0,5,545,532.8,110,41,274.6,152,34,148.0,244,66,95.8,168,41,1.4
36,4,62,98,2269,15.8,8,3,2,7,31,0,0,1,7,0,0,11,295,367.4,194,20,357.3,110,16,672.0,50,21,137.4,77,19,4.3
36,3,59,141,2803,23.9,8,4,3,11,33,0,0,0,2,0,0,16,465,627.6,65,24,708.3,19,15,1020.0,15,8,235.4,20,14,2.8
36,1,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,621,79,0.0,617,71,0.0,602,62,0.0,623,79,0.0
36,3,55,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,728,304,0.0,726,304,0.0,725,304,0.0,728,304,0.0
36,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,542,197,0.0,529,196,0.0,496,189,0.0,546,197,0.0
36,1,45,126,3330,28.0,0,0,1,11,42,0,0,0,3,1,101,8,679,804.6,18,8,30.0,387,3,0.0,613,63,83.4,201,8,14.5
36,3,44,66,2110,15.0,1,2,1,7,28,0,0,0,10,0,0,9,351,425.6,155,56,167.1,222,133,126.0,265,138,71.8,241,114,4.8
36,2,45,74,1547,16.4,0,2,1,6,21,0,0,0,4,0,0,7,308,246.0,275,104,353.4,113,20,172.0,229,58,76.8,218,62,1.8
36,4,53,5,154,0.9,0,0,0,0,1,0,0,0,0,0,0,0,12,2.4,500,61,13.1,421,55,18.0,408,58,3.1,473,57,0.1
36,3,48,13,401,2.7,0,0,0,0,7,0,0,0,0,0,0,0,77,70.2,411,176,40.8,371,185,21.0,395,194,13.3,420,187,0.0
36,3,51,93,2112,18.2,5,2,1,6,29,0,0,1,4,0,0,8,398,494.0,123,45,455.6,74,55,540.0,66,36,148.8,65,42,0.5
36,3,45,58,1694,12.9,0,3,0,5,23,0,0,0,1,0,0,0,227,239.6,282,117,286.0,144,92,372.0,119,67,90.3,187,96,0.5
36,4,60,89,1469,14.8,6,4,2,5,16,0,0,0,0,0,0,13,247,302.4,239,27,195.1,201,29,528.0,71,29,101.5,147,27,1.6
36,3,59,58,990,9.8,2,5,1,3,13,0,0,0,2,0,0,5,200,241.8,280,115,142.9,241,139,199.0,212,115,58.0,273,124,0.1
36,1,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,647,81,0.0,643,73,0.0,631,65,0.0,649,81,0.0
36,4,50,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,711,86,0.0,711,88,0.0,704,86,0.0,711,86,0.0
36,4,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,631,71,0.0,627,74,0.0,612,70,0.0,633,73,0.2
