team_code_20_21,element_type_20_21,now_cost_20_21,total_points_20_21,minutes_20_21,value_season_20_21,goals_scored_20_21,assists_20_21,dreamteam_count_20_21,clean_sheets_20_21,goals_conceded_20_21,own_goals_20_21,penalties_saved_20_21,penalties_missed_20_21,yellow_cards_20_21,red_cards_20_21,saves_20_21,bonus_20_21,bps_20_21,influence_20_21,influence_rank_20_21,influence_rank_type_20_21,creativity_20_21,creativity_rank_20_21,creativity_rank_type_20_21,threat_20_21,threat_rank_20_21,threat_rank_type_20_21,ict_index_20_21,ict_index_rank_20_21,ict_index_rank_type_20_21,selected_by_percent_20_21
3,3,67,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,713,295,0.0,713,295,0.0,713,295,0.0,713,295,0.5
3,2,48,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,682,240,0.0,674,241,0.0,667,238,0.0,685,240,0.1
3,2,54,41,1396,7.6,1,0,0,3,20,0,0,0,1,1,0,0,230,250.6,264,101,46.7,346,119,144.0,244,70,43.9,310,105,0.8
3,3,113,131,2330,11.6,10,3,3,10,26,1,0,0,2,0,0,11,358,493.8,136,49,361.5,101,71,823.0,34,18,167.4,52,31,7.2
3,2,46,28,744,6.1,0,1,0,2,11,0,0,0,1,0,0,3,125,110.8,366,140,114.8,249,65,66.0,330,110,29.2,356,125,0.3
3,4,84,129,1916,15.4,13,3,4,7,21,0,0,0,3,0,0,21,452,602.4,69,8,307.4,133,18,797.0,38,18,170.4,50,17,4.3
3,2,50,3,45,0.6,0,0,0,0,1,0,0,0,0,0,0,0,16,11.6,473,177,1.0,462,176,0.0,691,245,1.3,488,180,0.0
3,1,50,131,3131,26.2,0,0,2,11,37,1,1,0,0,1,86,11,625,702.2,45,14,0.0,695,74,2.0,448,5,70.3,231,15,7.3
3,3,52,70,2519,13.5,1,2,0,10,27,0,0,0,7,1,0,1,396,456.0,160,60,327.6,116,79,154.0,232,118,94.0,159,88,0.4
3,2,44,34,900,7.7,0,0,0,4,8,0,0,0,2,0,0,1,182,163.2,326,125,26.4,379,137,16.0,400,153,20.6,384,135,0.1
