team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,first_name,second_name
,,,,,,,,,,,,,,,,,,,,,,,,3,4,103,138,2197,13.4,14,5,2,10,28,0,0,0,1,0,0,11,543,725.6,566,1291,258,7.6,Alexandre,Lacazette
1,3,87,73,1348,8.4,4,1,1,10,8,0,0,0,1,0,0,3,279,325.8,512.2,427,126.2,2.1,3,3,77,107,1712,13.9,3,9,3,12,17,0,0,0,2,0,0,9,411,506.8,727.8,400,163.8,7.5,Henrikh,Mkhitaryan
25,2,43,83,2250,19.3,2,1,0,7,37,0,0,0,4,0,0,7,499,692.2,107,80,88,3.4,3,2,47,23,864,4.9,0,0,0,2,14,0,0,0,1,0,0,0,171,227.8,40,134,40.2,0.4,Calum,Chambers
,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,5,144,1.1,0,0,0,0,3,0,0,0,0,0,0,0,23,12,29.7,11,5.3,0,Reiss,Nelson
3,3,45,1,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0,0,0.2,0,3,3,45,25,908,5.6,0,0,0,3,16,0,0,0,1,0,0,0,160,168.4,141.3,67,37.8,0.1,Ainsley,Maitland-Niles
3,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt,Macey
,,,,,,,,,,,,,,,,,,,,,,,,3,4,50,3,17,0.6,0,0,0,0,1,0,0,0,0,0,0,0,10,5,1.9,17,2.3,0,Edward,Nketiah
3,2,46,1,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.4,0,0.2,0.2,3,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mathieu,Debuchy
,,,,,,,,,,,,,,,,,,,,,,,,3,2,42,4,194,1,0,0,0,1,5,0,0,0,0,1,0,0,41,52.2,1.3,2,5.5,0,Konstantinos,Mavropanos
,,,,,,,,,,,,,,,,,,,,,,,,3,4,108,87,1056,8.1,10,4,2,4,15,0,0,1,0,0,0,12,354,484,207.1,580,127.1,14,Pierre-Emerick,Aubameyang
,,,,,,,,,,,,,,,,,,,,,,,,3,3,45,3,81,0.7,0,0,0,0,2,0,0,0,0,0,0,0,8,8.2,5.8,4,1.8,0,Joseph,Willock
,,,,,,,,,,,,,,,,,,,,,,,,3,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jordi,Osei-Tutu
8,1,46,2,180,0.4,0,0,0,0,5,0,0,0,0,0,1,0,17,13.2,0,0,1.3,0.2,91,1,45,112,3420,24.9,0,0,3,6,61,0,1,0,2,0,111,6,631,790.8,20,0,80.8,4.1,Asmir,Begovic
91,1,45,120,3150,26.7,0,0,2,9,63,0,2,0,2,0,115,7,657,815.4,10,0,82.4,6.2,91,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,Artur,Boruc
91,1,44,8,180,1.8,0,0,0,1,3,0,0,0,1,0,5,1,37,34.4,0,0,3.5,0.1,91,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,Adam,Federici
91,2,45,89,2938,19.8,0,1,1,10,54,0,0,0,4,1,0,7,639,748.2,291.2,130,117.3,1.4,91,2,43,56,2708,13,0,1,0,4,47,0,0,0,8,1,0,3,491,726.8,418.4,163,131,1.3,Simon,Francis
91,2,48,112,3420,23.3,2,0,1,10,67,1,0,0,5,0,0,17,777,1123,66.2,391,158.2,3.2,91,2,46,83,2764,18,2,1,2,5,53,1,0,0,5,0,0,9,495,870,65.6,271,120.6,1.1,Steve,Cook
91,2,52,134,3060,25.8,4,3,5,10,53,0,0,0,1,0,0,14,692,698.2,528.3,302,152.9,9.9,91,2,47,94,3001,20,1,3,0,6,50,0,0,0,0,0,0,4,587,582.2,479.7,196,125.9,6.6,Charlie,Daniels
91,2,46,104,3101,22.6,1,5,1,8,61,1,0,0,6,0,0,12,645,566.6,509.8,242,132.1,7,91,2,48,56,2067,11.7,1,3,0,2,38,0,0,0,6,0,0,3,376,455,345.5,144,94.5,0.4,Adam,Smith
91,2,45,4,506,0.9,0,0,0,0,16,2,0,0,0,0,0,2,89,125.4,18.3,45,18.9,0,91,2,42,3,201,0.7,0,0,0,0,5,0,0,0,1,0,0,0,40,46.6,14.8,10,7.2,0.2,Tyrone,Mings
91,2,39,4,269,1,0,0,0,0,9,0,0,0,1,0,0,0,35,28.6,30.3,27,8.6,2.5,91,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,Bradley,Smith
8,2,39,55,834,14.1,3,1,2,3,20,0,0,0,1,0,0,8,267,373.2,55.5,147,57.5,6.1,91,2,50,102,3352,20.4,2,3,1,6,59,0,0,0,5,0,0,8,642,932.4,115.1,287,133.5,6.1,Nathan,Aké
91,3,50,84,2956,16.8,1,4,0,9,62,0,0,1,11,1,0,6,513,482,533,343,135.4,0.3,91,3,47,27,959,5.7,1,0,0,3,13,0,0,0,4,0,0,0,156,146,76.1,69,29.2,0.3,Harry,Arter
91,3,46,64,1329,13.9,2,3,2,5,24,0,0,0,1,0,0,6,224,238.6,304.6,290,83.3,0.4,91,3,47,32,974,6.8,0,0,0,5,17,0,0,0,2,0,0,0,97,99.2,195.5,224,51.6,0.1,Marc,Pugh
91,3,46,44,1800,9.6,0,1,0,4,38,0,0,0,1,1,0,0,288,256.8,223.8,90,57,0.1,91,3,43,82,1851,19.1,2,5,1,5,29,0,0,0,2,0,0,9,363,458,261.1,121,84,3.1,Andrew,Surman
91,3,46,107,1467,23.3,7,6,1,4,29,0,0,0,1,0,0,13,372,454.6,406.9,418,128,1.3,91,3,57,75,1285,13.2,5,3,3,2,22,0,0,0,1,0,0,7,285,394.8,377.2,483,125.1,0.3,Junior,Stanislas
91,3,47,49,1366,10.4,2,0,0,4,24,0,0,0,6,0,0,2,254,254,181.7,168,60.5,0.1,91,3,48,59,1941,12.3,2,1,0,1,41,0,0,0,8,0,0,4,254,396.4,262.2,274,93.3,0.1,Dan,Gosling
91,3,50,8,134,1.6,0,0,0,0,1,0,0,0,3,0,0,0,24,24.6,18.2,70,10.8,0.1,91,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Max,Gradel
91,3,49,36,1055,7.3,0,0,0,3,22,0,0,0,0,0,0,0,133,113,268.3,235,61.5,1.1,91,3,46,85,1988,18.5,2,6,1,4,33,0,0,0,1,0,0,5,289,362,602.7,610,157.3,1,Jordon,Ibe
91,3,42,17,432,4,0,2,0,1,7,0,0,0,1,0,0,1,81,100.8,89.8,28,21.8,0.8,91,3,43,58,2234,13.5,0,2,0,3,42,0,0,0,5,0,0,0,337,456.4,423.3,126,100.7,1.2,Lewis,Cook
91,3,46,100,1764,21.7,3,9,2,7,32,0,0,0,3,0,0,8,345,338.4,536.5,332,120.7,1.2,91,3,51,97,2003,19,5,3,2,2,38,0,0,0,0,0,0,13,390,492.8,646.6,413,155,0.7,Ryan,Fraser
91,4,60,63,1361,10.5,6,1,0,6,25,0,0,0,0,0,0,2,170,229,125.7,487,82.2,1.1,91,4,56,102,1981,18.2,8,2,3,6,33,0,0,0,0,0,0,13,282,392.2,288.4,799,147.5,4.5,Callum,Wilson
91,4,53,88,1458,16.6,6,5,1,5,24,0,0,1,1,0,0,9,259,350,320.7,639,130.8,1.2,91,4,57,24,534,4.2,0,1,0,0,12,0,0,0,0,0,0,0,73,33.8,62.6,219,31.3,0.2,Benik,Afobe
91,4,51,14,270,2.7,0,1,0,1,4,1,0,0,0,0,0,0,22,27.8,39.6,109,16.1,0.1,91,4,49,36,581,7.3,2,0,1,1,16,0,0,0,1,0,0,3,106,120.4,69.5,252,43.9,0.2,Lys,Mousset
91,3,62,178,2714,28.7,16,3,3,9,54,0,0,1,1,0,0,17,553,835.2,474.6,1007,231.6,19.3,91,4,70,110,2450,15.7,8,4,0,7,38,0,0,0,3,0,0,10,381,577,556.7,902,203.7,1.9,Joshua,King
56,4,74,166,3322,22.4,15,3,6,6,63,0,0,0,1,0,0,24,529,630.4,274.5,1379,227,16.1,91,4,76,60,1075,7.9,4,2,1,2,21,0,0,0,1,0,0,5,191,209.4,144.9,539,88.9,1.4,Jermain,Defoe
91,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,Aaron,Ramsdale
,,,,,,,,,,,,,,,,,,,,,,,,91,2,40,1,71,0.3,0,0,0,0,2,0,0,0,0,0,0,0,10,6.2,0,0,0.6,0.2,Jack,Simpson
91,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,45,1,58,0.2,0,0,0,0,1,0,0,0,0,0,0,0,6,5,12.5,0,1.8,0,Emerson,Hyndman
,,,,,,,,,,,,,,,,,,,,,,,,91,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Connor,Mahoney
,,,,,,,,,,,,,,,,,,,,,,,,91,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt,Butcher
,,,,,,,,,,,,,,,,,,,,,,,,91,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle,Taylor
,,,,,,,,,,,,,,,,,,,,,,,,36,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,Niki,Mäenpää
,,,,,,,,,,,,,,,,,,,,,,,,36,1,46,146,3420,31.7,0,0,3,10,54,0,2,0,0,0,124,13,726,911.6,0,0,91.1,3.4,Mathew,Ryan
,,,,,,,,,,,,,,,,,,,,,,,,36,2,45,97,3420,21.6,1,1,1,10,54,4,0,0,7,0,0,7,637,1002.8,147.8,425,157.9,2.9,Lewis,Dunk
,,,,,,,,,,,,,,,,,,,,,,,,36,2,46,100,3292,21.7,0,2,1,10,52,0,0,0,8,0,0,7,614,1027.6,98.9,361,148.9,2.9,Shane,Duffy
,,,,,,,,,,,,,,,,,,,,,,,,36,2,38,1,17,0.3,0,0,0,0,1,0,0,0,0,0,0,0,5,7,0.3,2,0.9,5.6,Uwe,Hünemeier
,,,,,,,,,,,,,,,,,,,,,,,,36,2,45,84,2014,18.7,0,0,0,10,23,0,0,0,3,0,0,8,423,360.4,174.1,35,57.2,0.8,Bruno,Saltor Grau
,,,,,,,,,,,,,,,,,,,,,,,,36,2,44,63,2237,14.3,0,0,1,6,36,1,0,0,2,0,0,5,369,346.2,154.6,18,52.1,0.2,Gaëtan,Bong
,,,,,,,,,,,,,,,,,,,,,,,,36,2,39,3,163,0.8,0,0,0,0,3,0,0,0,0,0,0,0,22,28.8,4.7,2,3.6,3,Liam,Rosenior
,,,,,,,,,,,,,,,,,,,,,,,,36,2,39,6,199,1.5,0,0,0,1,5,0,0,0,1,0,0,0,36,40.4,3.5,55,9.9,2.6,Connor,Goldson
,,,,,,,,,,,,,,,,,,,,,,,,36,3,55,88,2415,16,3,1,0,11,29,0,0,0,4,1,0,6,383,404,557.2,530,149.1,0.6,Anthony,Knockaert
,,,,,,,,,,,,,,,,,,,,,,,,36,3,45,87,3240,19.3,0,3,0,10,50,0,0,0,6,0,0,2,550,625.8,272.5,176,107.7,1.2,Dale,Stephens
,,,,,,,,,,,,,,,,,,,,,,,,36,3,44,25,735,5.7,0,0,0,1,14,0,0,0,2,0,0,0,115,111.2,137,48,29.6,0.1,Beram,Kayal
,,,,,,,,,,,,,,,,,,,,,,,,36,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,Steve,Sidwell
,,,,,,,,,,,,,,,,,,,,,,,,36,3,48,74,1838,15.4,1,3,0,6,29,0,0,0,3,0,0,3,303,357.4,320.9,316,99.8,0.2,Solomon,March
,,,,,,,,,,,,,,,,,,,,,,,,36,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jiri,Skalak
,,,,,,,,,,,,,,,,,,,,,,,,36,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oliver,Norwood
,,,,,,,,,,,,,,,,,,,,,,,,36,3,47,6,166,1.3,0,0,0,0,4,0,0,0,0,0,0,0,25,11.8,15.5,24,5.1,0,Jamie,Murphy
,,,,,,,,,,,,,,,,,,,,,,,,36,3,59,164,2928,27.8,7,8,3,10,46,0,0,0,2,0,0,24,635,735.4,1311,527,257.6,15.4,Pascal,Groß
,,,,,,,,,,,,,,,,,,,,,,,,36,4,59,111,2184,18.8,12,0,2,8,36,0,0,2,9,0,0,16,319,492.4,271.8,779,153.1,5.7,Glenn,Murray
,,,,,,,,,,,,,,,,,,,,,,,,36,4,46,43,842,9.3,2,2,0,3,8,0,0,0,0,0,0,5,110,152,66.1,227,44.2,1,Tomer,Hemed
,,,,,,,,,,,,,,,,,,,,,,,,36,4,49,2,30,0.4,0,0,0,0,1,0,0,0,0,0,0,0,4,0.4,0.8,6,0.7,0,Sam,Baldock
13,4,55,24,447,4.4,1,0,0,2,5,0,0,0,0,0,0,1,56,60.8,55.7,262,37.4,0.1,36,4,48,20,279,4.2,1,0,0,1,4,0,0,0,0,0,0,0,66,68,94.2,66,22.7,0.3,Leonardo,Ulloa
,,,,,,,,,,,,,,,,,,,,,,,,36,2,42,38,1178,9,0,0,1,4,18,0,0,0,0,0,0,3,204,187.4,105.6,17,30.8,0.4,Markus,Suttner
,,,,,,,,,,,,,,,,,,,,,,,,36,3,52,16,302,3.1,0,0,0,0,8,0,0,0,0,0,0,0,60,33.2,86.2,25,14.5,0,Isaiah,Brown
,,,,,,,,,,,,,,,,,,,,,,,,36,3,53,87,3118,16.4,0,4,0,9,50,0,0,0,2,1,0,1,446,535.8,297.1,255,108.9,0.1,Davy,Pröpper
,,,,,,,,,,,,,,,,,,,,,,,,36,3,59,101,1976,17.1,5,5,1,5,32,0,0,0,2,0,0,4,324,385.4,311.3,618,131.3,0.3,José Heriberto,Izquierdo Mena
,,,,,,,,,,,,,,,,,,,,,,,,36,2,44,20,1313,4.5,0,0,0,0,30,0,0,0,3,0,0,0,183,210,99.2,73,38.2,0.1,Ezequiel,Schelotto
,,,,,,,,,,,,,,,,,,,,,,,,36,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,Tim,Krul
,,,,,,,,,,,,,,,,,,,,,,,,36,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jayson,Molumby
,,,,,,,,,,,,,,,,,,,,,,,,36,4,60,16,221,2.7,1,1,0,1,8,0,0,0,0,0,0,2,47,50.4,24.6,89,15.8,0,Jürgen,Locadia
90,1,51,149,3150,29.2,0,0,4,10,48,0,1,0,1,0,142,21,741,1001.6,30.3,0,103.2,18.6,90,1,47,8,305,1.7,0,0,0,0,4,0,0,0,0,0,8,0,48,53.4,0,0,5.3,1.7,Tom,Heaton
90,1,40,5,270,1.3,0,0,0,0,7,0,0,0,0,0,10,0,45,66.2,0,0,6.6,2.3,90,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paul,Robinson
90,2,45,90,3240,20,0,2,0,9,53,0,0,0,9,0,0,5,631,770.6,491.5,80,134.2,0.8,90,2,44,89,2295,20.2,0,3,0,8,26,0,0,0,1,0,0,4,450,574.6,264.9,46,89,4.9,Matthew,Lowton
90,2,44,94,3015,21.4,1,2,0,9,49,2,0,0,5,0,0,6,592,890,93.7,281,126.7,2.2,90,2,49,90,2610,18.4,0,0,1,9,27,0,0,0,5,0,0,6,491,748.6,74.5,349,117.3,7.3,Ben,Mee
