team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,assists_gw1_17_18,attempted_passes_gw1_17_18,big_chances_created_gw1_17_18,big_chances_missed_gw1_17_18,bonus_gw1_17_18,bps_gw1_17_18,clean_sheets_gw1_17_18,clearances_blocks_interceptions_gw1_17_18,completed_passes_gw1_17_18,creativity_gw1_17_18,dribbles_gw1_17_18,ea_index_gw1_17_18,errors_leading_to_goal_gw1_17_18,errors_leading_to_goal_attempt_gw1_17_18,fouls_gw1_17_18,goals_conceded_gw1_17_18,goals_scored_gw1_17_18,ict_index_gw1_17_18,influence_gw1_17_18,key_passes_gw1_17_18,loaned_in_gw1_17_18,loaned_out_gw1_17_18,minutes_gw1_17_18,offside_gw1_17_18,open_play_crosses_gw1_17_18,opponent_team_gw1_17_18,own_goals_gw1_17_18,penalties_conceded_gw1_17_18,penalties_missed_gw1_17_18,penalties_saved_gw1_17_18,recoveries_gw1_17_18,red_cards_gw1_17_18,saves_gw1_17_18,selected_gw1_17_18,tackled_gw1_17_18,tackles_gw1_17_18,target_missed_gw1_17_18,team_a_score_gw1_17_18,team_h_score_gw1_17_18,threat_gw1_17_18,total_points_gw1_17_18,transfers_balance_gw1_17_18,transfers_in_gw1_17_18,transfers_out_gw1_17_18,value_gw1_17_18,winning_goals_gw1_17_18,yellow_cards_gw1_17_18,team_code_17_18_gw1_17_18
,,,,,,,,,,,,,,,,,,,,,,,,Ahmed El-Sayed,Hegazi,0,25,0,0,3,39,1,12,18,10.3,0,0,0,0,1,0,1,12.1,57.8,1,0,0,90,0,0,2,0,0,0,0,3,0,0,90370,0,0,1,0,1,53.0,15,0,0,0,45,1,0,35
13.0,4.0,69.0,39.0,761.0,5.7,2.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,131.0,132.6,120.8,232.0,47.7,3.0,Ahmed,Musa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35587,0,0,0,3,4,0.0,0,0,0,0,65,0,0,13
14.0,2.0,44.0,15.0,305.0,3.4,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,79.0,64.6,78.3,32.0,17.5,1.4,Alberto,Moreno,0,44,0,0,0,14,0,5,35,12.8,2,0,0,0,1,3,0,4.7,26.8,1,0,0,90,0,0,18,0,0,0,0,2,0,0,65856,0,1,0,3,3,7.0,1,0,0,0,45,0,0,14
43.0,2.0,58.0,95.0,2535.0,16.4,1.0,1.0,2.0,9.0,27.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,558.0,639.0,296.4,223.0,116.0,3.1,Aleksandar,Kolarov,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3031,0,0,0,2,0,0.0,0,0,0,0,55,0,0,43
,,,,,,,,,,,,,,,,,,,,,,,,Aleksandar,Mitrovic,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,121294,0,0,0,2,0,0.0,0,0,0,0,50,0,0,4
,,,,,,,,,,,,,,,,,,,,,,,,Alexandre,Lacazette,0,21,1,0,0,32,0,1,19,39.8,1,0,0,0,2,3,1,14.9,49.0,3,0,0,90,2,1,9,0,0,0,0,2,0,0,695667,2,0,0,3,4,60.0,6,0,0,0,105,0,0,3
3.0,3.0,117.0,264.0,3217.0,22.6,24.0,11.0,9.0,13.0,41.0,0.0,0.0,1.0,6.0,0.0,0.0,32.0,834.0,1357.8,1278.3,1896.0,453.4,29.7,Alexis,Sánchez,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,126282,0,0,0,3,4,0.0,0,0,0,0,120,0,0,1
3.0,3.0,53.0,89.0,1456.0,16.8,3.0,5.0,1.0,9.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,352.0,326.4,467.8,592.0,138.7,1.1,Alex,Iwobi,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,134752,0,0,0,3,4,0.0,0,0,0,0,55,0,0,3
20.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Alex,McCarthy,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4487,0,0,0,0,0,0.0,0,0,0,0,45,0,0,20
3.0,3.0,58.0,83.0,1564.0,14.3,2.0,7.0,1.0,4.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,393.0,435.4,519.9,416.0,137.5,1.4,Alex,Oxlade-Chamberlain,0,51,0,0,0,26,0,7,40,29.3,8,0,0,0,1,3,0,10.9,35.8,2,0,0,90,0,1,9,0,0,0,0,10,0,0,135193,2,3,2,3,4,44.0,2,0,0,0,60,0,0,14
