,,,,,,,,,,,,,,,,,,,,,,Linear regression,,,,,,,,,,,,,,,,,,,KNN,,,,,,,,,,,,,,,,,,,,Decision tree,,,,,,,,,,,,,,,,,,,,Random forest,,,,,,,,,,,,,,,,,,,,TabNet,,,,,,,,,,,,,,,,,,,
,17/18,,,,,,18/19,,,,,19/20,,,,,20/21,,,,17/18,,,,,18/19,,,,,19/20,,,,,20/21,,,,,17/18,,,,,18/19,,,,,19/20,,,,,20/21,,,,,17/18,,,,,18/19,,,,,19/20,,,,,20/21,,,,,17/18,,,,,18/19,,,,,19/20,,,,,20/21,,,,,17/18,,,,,18/19,,,,,19/20,,,,,20/21,,,,
,,xgboost_17_18_gw_9,xgboost_17_18_gw_18,xgboost_17_18_gw_27,xgboost_17_18_gw_36,,xgboost_18_19_gw_9,xgboost_18_19_gw_18,xgboost_18_19_gw_27,xgboost_18_19_gw_36,,xgboost_19_20_gw_9,xgboost_19_20_gw_18,xgboost_19_20_gw_27,xgboost_19_20_gw_36,,xgboost_20_21_gw_9,xgboost_20_21_gw_18,xgboost_20_21_gw_27,xgboost_20_21_gw_36,,linear_17_18_gw_9,linear_17_18_gw_18,linear_17_18_gw_27,linear_17_18_gw_36,,linear_18_19_gw_9,linear_18_19_gw_18,linear_18_19_gw_27,linear_18_19_gw_36,,linear_19_20_gw_9,linear_19_20_gw_18,linear_19_20_gw_27,linear_19_20_gw_36,,linear_20_21_gw_9,linear_20_21_gw_18,linear_20_21_gw_27,linear_20_21_gw_36,,knn_17_18_gw_9,knn_17_18_gw_18,knn_17_18_gw_27,knn_17_18_gw_36,,knn_18_19_gw_9,knn_18_19_gw_18,knn_18_19_gw_27,knn_18_19_gw_36,,knn_19_20_gw_9,knn_19_20_gw_18,knn_19_20_gw_27,knn_19_20_gw_36,,knn_20_21_gw_9,knn_20_21_gw_18,knn_20_21_gw_27,knn_20_21_gw_36,,decision_17_18_gw_9,decision_17_18_gw_18,decision_17_18_gw_27,decision_17_18_gw_36,,decision_18_19_gw_9,decision_18_19_gw_18,decision_18_19_gw_27,decision_18_19_gw_36,,decision_19_20_gw_9,decision_19_20_gw_18,decision_19_20_gw_27,decision_19_20_gw_36,,decision_20_21_gw_9,decision_20_21_gw_18,decision_20_21_gw_27,decision_20_21_gw_36,,random_17_18_gw_9,random_17_18_gw_18,random_17_18_gw_27,random_17_18_gw_36,,random_18_19_gw_9,random_18_19_gw_18,random_18_19_gw_27,random_18_19_gw_36,,random_19_20_gw_9,random_19_20_gw_18,random_19_20_gw_27,random_19_20_gw_36,,random_20_21_gw_9,random_20_21_gw_18,random_20_21_gw_27,random_20_21_gw_36,,tabnet_17_18_gw_9,tabnet_17_18_gw_18,tabnet_17_18_gw_27,tabnet_17_18_gw_36,,tabnet_18_19_gw_9,tabnet_18_19_gw_18,tabnet_18_19_gw_27,tabnet_18_19_gw_36,,tabnet_19_20_gw_9,tabnet_19_20_gw_18,tabnet_19_20_gw_27,tabnet_19_20_gw_36,,tabnet_20_21_gw_9,tabnet_20_21_gw_18,tabnet_20_21_gw_27,tabnet_20_21_gw_36
rmse,,18.80000239,11.72391973,9.569837418,8.00062881,,4.964457514,4.593389799,4.801171688,4.775545163,,4.515750855,3.938804061,4.148524814,5.367957761,,4.426629733,9.96488823,10.9176044,8.317493525,,34.33376014,1544.818432,336.4286707,1360792740,,3.599198507,326.839787,2809057.899,12.20600349,,3.673174685,9.924838554,5500.787617,4054.784353,,4.889255571,33.13213513,1.06672E+11,1250.145345,,32.73499856,31.38948045,32.36594903,34.60302971,,22.02012957,28.10888785,33.48162944,32.55344612,,18.43951663,21.30596544,23.98732102,24.45830116,,20.30396434,24.8780541,28.16001337,28.60176375,,21.81652549,17.12165569,15.54364699,20.39274865,,10.914592,10.73782322,12.37591473,11.17067758,,12.71113625,9.371472125,8.652179786,8.855676645,,9.929455475,17.48928243,14.46740759,14.66383328,,20.98548349,14.3029387,11.96900052,10.27770277,,5.296089297,6.928112529,6.899555889,6.584143349,,5.243332307,4.910002527,5.432126798,7.415830578,,5.768409995,12.01148526,13.08725606,10.63877658,,26.03956266,22.49800818,11.69935426,9.69439733,,5.923916384,6.792165958,8.119496765,7.322277212,,6.300479924,6.023203092,7.250213003,9.108108008,,5.803103836,20.64243608,19.19849897,14.48673902
number of points,,2062,2022,2078,1927,,2151,2058,1956,1931,,1952,2209,2295,1982,,2166,1998,1903,2177,,1681,903,1088,913,,2150,1283,1741,1900,,1835,2016,896,673,,2229,1944,468,1066,,1832,1777,1944,1789,,2157,2009,2013,1797,,1564,2069,1862,1820,,1728,2184,1465,1982,,1822,1774,1909,1568,,2262,1985,1993,1750,,1830,2122,2067,1833,,2066,1755,1855,2166,,1993,1884,1917,1830,,2157,2047,1927,1931,,1849,2213,2327,1951,,2166,1998,1831,2244,,1942,1896,1947,1993,,2303,2197,1929,1872,,1852,2054,2229,1867,,2211,1948,1912,2270
