team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,first_name,second_name
,,,,,,,,,,,,,,,,,,,,,,,,3,4,103,138,2197,13.4,14,5,2,10,28,0,0,0,1,0,0,11,543,725.6,566,1291,258,7.6,3,4,94,166,2497,17.7,13,12,1,6,31,0,0,0,2,0,0,20,560,808,482.4,1319,260.6,11.4,3,4,92,118,1867,12.8,10,7,2,5,25,0,0,0,8,0,0,16,387,536.4,112,15,337.7,124,19,861,35,19,173.8,50,19,2.4,Alexandre,Lacazette
,,,,,,,,,,,,,,,,,,,,,,,,3,4,50,3,17,0.6,0,0,0,0,1,0,0,0,0,0,0,0,10,5,1.9,17,2.3,0,3,4,50,10,63,2,1,0,0,0,3,0,0,0,0,0,0,1,36,40.8,14.7,59,11.4,0,3,4,43,25,628,5.8,2,0,0,3,9,0,0,0,0,1,0,1,66,90.4,389,48,67,319,49,210,191,52,36.4,340,51,1.6,Edward,Nketiah
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,49,106,2835,21.6,0,0,1,6,42,0,0,0,0,0,105,5,568,807.2,0,0,80.5,4,3,1,48,114,2649,23.8,0,0,1,7,39,0,1,0,2,0,113,10,591,843.2,25,8,0,635,66,0,629,63,84.1,190,8,4.2,Bernd,Leno
3,3,95,167,2841,17.6,8,11,3,12,30,0,0,0,2,0,0,19,729,834.4,1649.3,734,322,7.5,3,3,93,112,2161,12,4,9,2,8,36,0,0,0,4,0,0,11,506,640.6,1287.5,555,248.6,2.1,3,3,79,89,1732,11.3,5,3,2,5,24,0,0,0,2,0,0,9,363,429.6,714.2,254,140,2.6,3,3,69,53,1439,7.7,1,3,0,5,20,0,0,0,1,0,0,1,256,223.6,300,126,582.9,39,32,190,205,110,99.8,153,79,1.1,Mesut,Özil
1,3,87,73,1348,8.4,4,1,1,10,8,0,0,0,1,0,0,3,279,325.8,512.2,427,126.2,2.1,3,3,77,107,1712,13.9,3,9,3,12,17,0,0,0,2,0,0,9,411,506.8,727.8,400,163.8,7.5,3,3,66,98,1637,14.8,6,4,4,3,26,0,0,0,1,0,0,12,354,446.4,454.9,600,150.2,4.6,3,3,67,4,110,0.6,0,0,0,1,0,0,0,0,1,0,0,0,3,5.4,480,203,33.9,371,184,46,355,170,8.6,431,185,0.7,Henrikh,Mkhitaryan
3,3,52,85,2483,16.3,2,3,1,10,32,0,0,0,5,2,0,7,506,488.8,626.2,193,130.8,3.2,3,3,51,109,3259,21.4,1,8,1,12,50,0,0,0,10,0,0,3,593,753.4,822.8,378,195.3,7,3,3,52,90,2498,17.3,4,3,1,7,37,0,0,0,10,0,0,8,452,634.6,674,215,152.6,2.3,3,3,51,73,2586,14.3,1,2,0,10,31,0,0,0,10,0,0,2,408,486.2,140,53,298.5,140,86,110,267,136,89.9,177,90,0.8,Granit,Xhaka
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,78,2377,16.6,2,4,1,5,38,0,0,0,7,1,0,6,409,440.8,301,203,94.5,2.6,3,3,47,46,1501,9.8,1,1,0,3,23,0,0,0,7,0,0,0,247,281.8,254,103,207.1,194,122,207,195,104,69.7,234,115,1,Lucas,Torreira
3,3,45,26,694,5.8,0,1,0,3,9,0,0,0,1,0,0,0,133,89,108.6,116,31.1,0.4,3,3,42,22,865,5.2,0,1,0,3,12,0,0,0,3,1,0,0,156,138.2,194.4,92,42.5,3,3,3,42,10,377,2.4,0,0,0,0,5,0,0,0,0,0,0,0,59,86.6,76.7,63,22.7,2.2,3,3,42,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,567,219,0,551,220,0,525,209,0,569,222,0.5,Mohamed,Elneny
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,44,47,2140,10.7,0,0,0,3,32,0,0,0,9,0,0,0,321,323.2,312.4,130,76.6,1.6,3,3,41,48,1744,11.7,0,2,0,3,31,0,0,0,6,0,0,2,272,333.6,222,90,235.1,177,111,146,240,126,71.6,225,112,7.1,Matteo,Guendouzi
8,2,62,132,2954,21.3,1,1,1,15,26,0,0,0,6,0,0,10,675,651,158.1,280,109.1,5,8,2,57,32,838,5.6,1,2,0,3,13,0,0,0,3,1,0,0,186,210.2,22.3,65,29.6,8.1,8,2,58,164,3238,28.3,3,2,4,16,36,0,0,0,3,0,0,19,794,859,358.7,363,158,11.7,3,2,57,94,2809,16.5,2,1,2,8,42,0,0,0,5,2,0,10,494,701.6,53,18,106.7,271,78,211,190,37,102.1,148,39,5.1,David,Luiz Moreira Marinho
