team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,first_name,second_name,assists_1_17_18,attempted_passes_1_17_18,big_chances_created_1_17_18,big_chances_missed_1_17_18,bonus_1_17_18,bps_1_17_18,clean_sheets_1_17_18,clearances_blocks_interceptions_1_17_18,completed_passes_1_17_18,creativity_1_17_18,dribbles_1_17_18,errors_leading_to_goal_1_17_18,errors_leading_to_goal_attempt_1_17_18,fouls_1_17_18,goals_conceded_1_17_18,goals_scored_1_17_18,ict_index_1_17_18,influence_1_17_18,key_passes_1_17_18,minutes_1_17_18,offside_1_17_18,open_play_crosses_1_17_18,own_goals_1_17_18,penalties_conceded_1_17_18,penalties_missed_1_17_18,penalties_saved_1_17_18,recoveries_1_17_18,red_cards_1_17_18,saves_1_17_18,selected_1_17_18,tackled_1_17_18,tackles_1_17_18,target_missed_1_17_18,threat_1_17_18,total_points_1_17_18,value_1_17_18,winning_goals_1_17_18,yellow_cards_1_17_18,team_code_17_18,element_type_17_18,total_points_17_18,now_cost_17_18
13.0,4.0,69.0,39.0,761.0,5.7,2.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,131.0,132.6,120.8,232.0,47.7,3.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.4,Ahmed,Musa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,35587,0,0,0,0.0,0,65,0,0,13,3,0,65
14.0,2.0,44.0,15.0,305.0,3.4,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,79.0,64.6,78.3,32.0,17.5,1.4,1264,12.1,0,1,0,6,19,0,0,0,1,0,0,3,328,261.8,250.1,106,61.7,1.2,Alberto,Moreno,0,44,0,0,0,14,0,5,35,12.8,2,0,0,1,3,0,4.7,26.8,1,90,0,0,0,0,0,0,2,0,0,65856,0,1,0,7.0,1,45,0,0,14,2,52,45
43.0,2.0,58.0,95.0,2535.0,16.4,1.0,1.0,2.0,9.0,27.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,558.0,639.0,296.4,223.0,116.0,3.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Aleksandar,Kolarov,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3031,0,0,0,0.0,0,55,0,0,43,2,0,55
4.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,2.1,1,0,0,0,0,0,0,0,0,0,0,0,37,48.2,44.7,73,16.6,0.6,Aleksandar,Mitrovic,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,121294,0,0,0,0.0,0,50,0,0,4,4,10,50
3.0,4.0,91.0,67.0,651.0,7.4,7.0,4.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,258.0,335.8,165.9,436.0,92.9,14.7,2197,13.4,14,5,2,10,28,0,0,0,1,0,0,11,543,725.6,566.0,1291,258.0,7.6,Alexandre,Lacazette,0,21,1,0,0,32,0,1,19,39.8,1,0,0,2,3,1,14.9,49.0,3,90,2,1,0,0,0,0,2,0,0,695667,2,0,0,60.0,6,105,0,0,3,4,138,105
3.0,3.0,53.0,89.0,1456.0,16.8,3.0,5.0,1.0,9.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,352.0,326.4,467.8,592.0,138.7,1.1,1827,17.5,3,5,0,9,26,0,0,0,1,0,0,2,426,430.0,592.9,635,165.6,1.0,Alex,Iwobi,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,134752,0,0,0,0.0,0,55,0,0,3,3,89,55
20.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1620,11.8,0,0,0,4,26,0,0,0,2,0,42,3,278,280.8,0.0,0,28.1,0.8,Alex,McCarthy,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4487,0,0,0,0.0,0,45,0,0,20,1,52,45
3.0,3.0,58.0,83.0,1564.0,14.3,2.0,7.0,1.0,4.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,393.0,435.4,519.9,416.0,137.5,1.4,1718,17.1,3,7,0,5,28,0,0,0,3,0,0,5,423,548.0,625.1,494,166.5,2.2,Alex,Oxlade-Chamberlain,0,51,0,0,0,26,0,7,40,29.3,8,0,0,1,3,0,10.9,35.8,2,90,0,1,0,0,0,0,10,0,0,135193,2,3,2,44.0,2,60,0,0,14,3,94,60
80.0,2.0,46.0,94.0,2430.0,20.4,4.0,0.0,3.0,7.0,45.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,541.0,678.0,62.0,302.0,104.2,1.9,3420,22.0,2,1,1,9,56,0,0,0,3,0,0,7,662,848.4,86.4,254,119.4,4.1,Alfie,Mawson,0,41,0,0,0,26,1,9,36,0.2,0,0,0,0,0,0,2.2,21.4,0,90,0,0,0,0,0,0,2,0,0,54205,0,0,0,0.0,6,50,0,0,80,2,112,50
1.0,3.0,62.0,97.0,2465.0,15.6,1.0,6.0,1.0,13.0,18.0,0.0,0.0,0.0,5.0,1.0,0.0,11.0,559.0,593.2,720.8,276.0,159.2,2.2,1257,8.8,0,2,0,5,14,0,0,0,5,0,0,0,229,294.4,229.4,101,62.7,1.3,Ander,Herrera,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,204440,0,0,0,0.0,0,55,0,0,1,3,44,55
8.0,2.0,46.0,15.0,250.0,2.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,60.6,13.5,4.0,7.8,0.3,2067,14.9,0,0,0,8,23,0,0,0,0,0,0,4,475,466.6,66.5,109,64.3,1.9,Andreas,Christensen,0,46,0,0,0,16,0,2,42,11.4,1,0,0,0,3,0,2.8,12.6,1,73,0,0,0,0,0,0,4,0,0,5068,0,0,0,4.0,1,55,0,0,8,2,79,55
1.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Andreas,Pereira,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4259,0,0,0,0.0,0,50,0,0,1,3,0,50
88.0,2.0,44.0,73.0,2736.0,16.6,1.0,2.0,0.0,5.0,59.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,488.0,502.6,352.8,100.0,95.6,1.9,1940,22.2,1,5,3,10,18,0,0,0,2,0,0,12,514,424.0,414.5,174,101.3,7.4,Andrew,Robertson,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,70031,0,0,0,0.0,0,50,0,0,14,2,111,50
91.0,3.0,46.0,44.0,1800.0,9.6,0.0,1.0,0.0,4.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,288.0,256.8,223.8,90.0,57.0,0.1,1851,19.1,2,5,1,5,29,0,0,0,2,0,0,9,363,458.0,261.1,121,84.0,3.1,Andrew,Surman,0,106,0,0,0,14,0,3,93,17.6,0,0,0,0,1,0,4.0,21.6,1,90,0,0,0,0,0,0,4,0,0,29900,0,1,1,1.0,2,45,0,0,91,3,82,45
90.0,4.0,60.0,108.0,2260.0,18.0,9.0,3.0,1.0,8.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,303.0,415.6,320.2,648.0,137.4,4.0,1486,12.5,5,3,0,5,30,0,0,0,1,0,0,4,237,251.2,254.0,594,108.2,1.3,Andre,Gray,0,5,0,0,0,4,0,0,5,2.9,0,0,0,0,0,0,0.5,2.2,0,27,0,0,0,0,0,0,0,0,0,95817,1,1,0,0.0,1,65,0,0,57,4,79,65
31.0,3.0,57.0,116.0,2520.0,20.4,3.0,7.0,2.0,7.0,38.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,492.0,552.4,852.4,511.0,191.3,2.2,3120,21.6,2,9,0,9,48,0,0,0,3,0,0,7,552,626.0,1012.1,587,222.8,1.4,Andros,Townsend,0,14,1,0,0,13,0,0,8,16.3,3,0,0,0,1,0,2.7,8.2,2,45,0,0,0,0,0,0,1,0,0,117997,2,2,0,2.0,1,60,0,0,31,3,121,60
21.0,4.0,59.0,69.0,1312.0,11.7,7.0,2.0,1.0,3.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,256.0,351.8,220.8,620.0,119.2,2.0,742,6.3,3,1,1,3,13,0,0,0,5,1,0,6,106,145.4,110.2,344,58.8,0.3,Andy,Carroll,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4252,0,0,0,0.0,0,60,0,0,21,4,36,60
13.0,3.0,47.0,41.0,1446.0,8.7,1.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,217.0,258.4,122.7,167.0,54.9,0.2,1247,12.1,3,1,0,1,26,0,0,0,2,0,0,1,225,239.8,116.9,204,56.2,3.5,Andy,King,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,33071,0,0,0,0.0,0,45,0,0,80,3,51,45
21.0,2.0,47.0,45.0,1755.0,9.6,0.0,0.0,0.0,4.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,322.0,384.4,82.4,51.0,51.6,0.7,2880,18.3,1,0,2,7,60,0,0,0,3,0,0,4,520,687.8,81.4,145,91.4,3.4,Angelo,Ogbonna,0,44,0,0,0,10,0,9,35,0.5,0,0,0,0,4,0,1.4,13.2,0,90,0,0,0,0,0,0,4,0,0,48392,0,0,0,0.0,-1,45,0,1,21,2,77,45
80.0,2.0,41.0,26.0,831.0,6.3,1.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,190.0,221.8,122.7,54.0,40.0,0.2,154,1.0,0,0,0,0,3,0,0,0,0,0,0,0,28,24.2,22.1,2,4.8,7.3,Angel,Rangel,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,847779,0,0,0,0.0,0,40,0,0,80,2,4,40
