team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name
91,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Emerson,Hyndman
91,3,49,36,1055,7.3,0,0,0,3,22,0,0,0,0,0,0,0,133,113,268.3,235,61.5,1.1,Jordon,Ibe
91,3,42,17,432,4,0,2,0,1,7,0,0,0,1,0,0,1,81,100.8,89.8,28,21.8,0.8,Lewis,Cook
91,3,62,178,2714,28.7,16,3,3,9,54,0,0,1,1,0,0,17,553,835.2,474.6,1007,231.6,19.3,Joshua,King
91,4,60,63,1361,10.5,6,1,0,6,25,0,0,0,0,0,0,2,170,229,125.7,487,82.2,1.1,Callum,Wilson
91,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,Tokelo,Rantie
91,4,43,6,60,1.4,0,1,0,0,2,0,0,0,0,0,0,0,17,24.2,11.8,17,5.3,2.9,Lewis,Grabban
91,4,53,88,1458,16.6,6,5,1,5,24,0,0,1,1,0,0,9,259,350,320.7,639,130.8,1.2,Benik,Afobe
91,4,51,14,270,2.7,0,1,0,1,4,1,0,0,0,0,0,0,22,27.8,39.6,109,16.1,0.1,Lys,Mousset
90,1,51,149,3150,29.2,0,0,4,10,48,0,1,0,1,0,142,21,741,1001.6,30.3,0,103.2,18.6,Tom,Heaton
90,2,45,90,3240,20,0,2,0,9,53,0,0,0,9,0,0,5,631,770.6,491.5,80,134.2,0.8,Matthew,Lowton
90,2,44,94,3015,21.4,1,2,0,9,49,2,0,0,5,0,0,6,592,890,93.7,281,126.7,2.2,Ben,Mee
90,2,45,91,3230,20.2,1,1,0,8,53,0,0,0,5,0,0,3,596,644.6,409.9,128,118.3,1.6,Stephen,Ward
90,2,50,113,3150,22.6,2,1,3,10,49,0,0,0,4,0,0,10,619,930.8,96.7,557,158.6,3.3,Michael,Keane
90,2,40,23,568,5.8,0,0,0,1,11,0,0,0,1,0,0,0,111,146.2,53.4,81,27.5,1.8,James,Tarkowski
90,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,Tendayi,Darikwa
90,3,50,1,86,0.2,0,0,0,0,1,0,0,0,1,0,0,0,8,0,11.7,2,1.3,0,David,Jones
90,3,51,92,2837,18,2,2,0,9,45,0,0,0,3,0,0,2,386,330.6,268.4,376,97.2,0.2,George,Boyd
90,3,52,69,2103,13.3,1,2,1,6,36,0,0,0,3,0,0,3,253,210.2,556.5,393,115.7,0.1,Scott,Arfield
90,3,43,51,1764,11.9,1,2,0,5,28,0,0,0,7,0,0,1,239,244.4,88.7,73,40.5,0.4,Dean,Marney
90,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,Fredrik,Ulvestad
90,3,42,6,104,1.4,0,0,0,0,1,0,0,0,0,0,0,0,20,2.8,9.3,4,1.5,0.6,Michael,Kightly
90,4,57,121,2064,21.2,10,4,1,5,34,0,0,0,0,0,0,12,394,500,248.1,907,164.6,3.2,Sam,Vokes
90,4,60,108,2260,18,9,3,1,8,33,0,0,0,2,0,0,10,303,415.6,320.2,648,137.4,4,Andre,Gray
90,4,43,2,13,0.5,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,1,2,0.3,0.6,Lukas,Jutkiewicz
90,4,46,81,1774,17.6,6,3,2,6,27,0,0,0,6,1,0,10,241,328.8,277.1,663,125.5,4.3,Ashley,Barnes
90,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rouwen,Hennings
90,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,Chris,Long
8,1,59,141,3240,23.9,0,0,1,16,28,0,0,0,1,0,69,0,623,517.6,0,0,52,14.1,Thibaut,Courtois
8,1,46,2,180,0.4,0,0,0,0,5,0,0,0,0,0,1,0,17,13.2,0,0,1.3,0.2,Asmir,Begovic
8,2,52,21,496,4,1,0,0,1,9,0,0,0,1,0,0,0,97,104.6,24.3,104,23.3,1.9,John,Terry
8,2,56,23,589,4.1,0,1,0,1,9,0,0,0,2,0,0,2,143,114.6,69.4,112,29.4,2.7,Branislav,Ivanovic
8,2,64,170,3420,26.6,1,5,2,16,33,0,0,0,4,0,0,22,872,792.8,422.8,150,136.8,18.1,César,Azpilicueta
8,2,67,178,3296,26.6,6,0,3,17,29,1,0,0,5,0,0,15,778,831.6,100.8,400,133.3,15.3,Gary,Cahill
8,2,53,15,250,2.8,0,1,0,0,8,0,0,0,0,0,0,3,69,60.6,13.5,4,7.8,0.3,Kurt,Zouma
8,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abdul Rahman,Baba
8,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,Matt,Miazga
8,3,105,224,2985,21.3,16,9,5,17,29,0,0,1,3,0,0,33,869,1044.6,1306.8,1162,351.6,30.6,Eden,Hazard
8,3,70,121,1340,17.3,5,15,3,4,14,0,0,0,8,0,0,14,529,635,881.8,325,184.1,3.3,Cesc,Fàbregas
8,3,71,17,455,2.4,0,1,0,1,6,0,0,0,1,0,0,0,104,97.4,197.4,128,42.2,0.5,Oscar,dos Santos Emboaba Junior
8,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Juan,Cuadrado
8,3,70,114,1534,16.3,8,3,4,6,19,0,0,0,3,0,0,13,441,491.4,809.4,522,182.1,3.5,Willian,Borges Da Silva
8,3,48,105,2694,21.9,1,8,0,15,24,0,0,0,4,0,0,1,550,546.8,447.1,279,127.5,3.9,Nemanja,Matic
8,3,50,6,35,1.2,0,0,0,0,0,0,0,0,0,0,0,0,16,3.8,3.9,25,3.4,0.1,Ruben,Loftus-Cheek
8,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,John Obi,Mikel
8,3,68,162,2140,23.8,9,10,5,15,15,0,0,0,6,0,0,18,580,639,697.9,669,198.8,8.5,Pedro,Rodríguez Ledesma
8,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bertrand,Traore
8,3,55,105,2485,19.1,3,3,1,17,15,0,0,0,4,0,0,6,476,528.6,456.2,683,166.7,2.2,Victor,Moses
8,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marco,Van Ginkel
8,3,51,3,90,0.6,0,0,0,0,3,0,0,0,0,0,0,0,8,1.8,11.8,46,6,0,Robert Kenedy,Nunes do Nascimento
8,3,47,83,3138,17.7,1,1,0,13,33,0,0,0,9,0,0,1,554,515.4,432.8,244,119,11.7,N'Golo,Kanté
8,4,84,48,254,5.7,5,1,0,0,3,0,0,0,0,0,0,4,169,193.2,40.9,277,50.7,1.2,Michy,Batshuayi
8,4,104,196,3083,18.8,20,11,4,14,30,0,0,1,10,0,0,25,657,982.6,687.9,1891,355,32.2,Diego,Da Silva Costa
31,4,62,6,134,1,0,0,0,1,3,0,0,0,0,0,0,0,17,20,26.9,60,10.2,0.2,Loïc,Remy
31,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,Julian,Speroni
31,1,43,92,2610,21.4,0,0,2,7,46,0,0,0,1,0,83,4,497,600.4,31.1,0,63.2,3.1,Wayne,Hennessey
20,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,Alex,McCarthy
31,1,42,19,810,4.5,0,0,0,0,17,0,0,0,0,0,24,0,120,182.8,0,0,18.2,1.9,Steve,Mandanda
31,2,48,75,1974,15.6,3,0,2,6,36,0,0,0,4,0,0,5,359,471,35.7,213,72.1,0.2,James,Tomkins
31,2,51,61,1752,12,3,1,2,2,36,0,0,0,2,0,0,4,310,459,73.1,426,96,2.1,Scott,Dann
31,2,48,86,3417,17.9,0,1,0,7,63,0,0,0,7,0,0,7,568,608.2,263.7,129,100.4,0.9,Joel,Ward
31,2,42,46,2124,11,0,2,0,2,44,0,0,0,4,0,0,0,323,421.8,125.1,61,61,0.6,Martin,Kelly
31,2,48,51,2014,10.6,0,2,1,3,39,0,0,0,8,0,0,3,344,496.6,79.6,67,64.1,0.5,Damien,Delaney
