team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,first_name,second_name,assists_1_18_19,attempted_passes_1_18_19,big_chances_created_1_18_19,big_chances_missed_1_18_19,bonus_1_18_19,bps_1_18_19,clean_sheets_1_18_19,clearances_blocks_interceptions_1_18_19,completed_passes_1_18_19,creativity_1_18_19,dribbles_1_18_19,errors_leading_to_goal_1_18_19,errors_leading_to_goal_attempt_1_18_19,fouls_1_18_19,goals_conceded_1_18_19,goals_scored_1_18_19,ict_index_1_18_19,influence_1_18_19,key_passes_1_18_19,minutes_1_18_19,offside_1_18_19,open_play_crosses_1_18_19,own_goals_1_18_19,penalties_conceded_1_18_19,penalties_missed_1_18_19,penalties_saved_1_18_19,recoveries_1_18_19,red_cards_1_18_19,saves_1_18_19,selected_1_18_19,tackled_1_18_19,tackles_1_18_19,target_missed_1_18_19,threat_1_18_19,total_points_1_18_19,value_1_18_19,winning_goals_1_18_19,yellow_cards_1_18_19,team_code_18_19,element_type_18_19,total_points_18_19,now_cost_18_19
91.0,2.0,46.0,104.0,3101.0,22.6,1.0,5.0,1.0,8.0,61.0,1.0,0.0,0.0,6.0,0.0,0.0,12.0,645.0,566.6,509.8,242.0,132.1,7.0,91.0,2.0,48.0,56.0,2067.0,11.7,1.0,3.0,0.0,2.0,38.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,376.0,455.0,345.5,144.0,94.5,0.4,2067,16.3,1,1,0,8,33,0,0,0,5,1,0,1,383,374.0,199.8,110.0,68.5,0.4,Adam,Smith,0,42,0,0,0,25,1,5,37,15.5,0,0,0,1,0,0,3.2,16.2,1,90,0,0,0,0,0,0,5,0,0,21187,0,0,0,0.0,6,45,0,0,91,2,70,45
11.0,3.0,50.0,16.0,289.0,3.2,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,55.8,15.5,193.0,26.1,0.0,11.0,3.0,51.0,10.0,153.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,20.5,43.0,7.5,0.1,600,6.9,0,3,0,1,8,0,0,0,0,0,0,0,110,131.4,172.1,211.0,51.6,0.1,Ademola,Lookman,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,12390,0,0,0,0.0,0,55,0,0,11,3,34,55
57.0,2.0,40.0,15.0,562.0,3.8,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,121.0,162.6,12.7,26.0,20.1,0.4,57.0,2.0,41.0,58.0,2206.0,14.1,0.0,0.0,1.0,6.0,43.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,378.0,462.0,59.4,106.0,62.8,4.9,1924,13.6,0,0,0,5,32,0,0,0,3,0,0,2,334,404.6,61.9,79.0,54.5,0.6,Adrian,Mariappa,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,11219,0,0,0,0.0,0,45,0,0,57,2,57,45
13.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,59.0,23.0,760.0,3.9,0.0,2.0,0.0,1.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,128.0,133.2,120.0,65.0,31.8,0.0,87,0.6,0,0,0,0,1,0,0,0,0,0,0,0,16,14.2,6.3,0.0,2.1,0.1,Adrien Sebastian,Perruchet Silva,0,76,0,0,0,13,0,1,65,6.2,0,0,0,0,1,0,1.7,10.8,0,79,0,0,0,0,0,0,5,0,0,10282,2,2,0,0.0,2,50,0,0,13,3,3,50
3.0,3.0,45.0,1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.2,0.0,0.0,0.2,0.0,3.0,3.0,45.0,25.0,908.0,5.6,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,160.0,168.4,141.3,67.0,37.8,0.1,983,7.7,1,1,0,2,20,0,0,0,1,1,0,3,152,224.2,98.9,126.0,44.8,0.4,Ainsley,Maitland-Niles,0,13,0,0,0,7,0,2,11,10.3,2,0,0,1,1,0,2.1,10.8,1,34,0,0,0,0,0,0,3,0,0,31526,0,0,0,0.0,1,45,0,0,3,3,34,45
14.0,2.0,44.0,15.0,305.0,3.4,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,79.0,64.6,78.3,32.0,17.5,1.4,14.0,2.0,43.0,52.0,1264.0,12.1,0.0,1.0,0.0,6.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,328.0,261.8,250.1,106.0,61.7,1.2,154,1.0,0,0,0,0,2,0,0,0,0,0,0,0,24,20.0,42.0,5.0,6.7,0.2,Alberto,Moreno,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,22078,0,0,0,0.0,0,45,0,0,14,2,4,45
54.0,4.0,62.0,37.0,748.0,5.1,2.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,144.8,89.9,321.0,55.5,0.8,4.0,4.0,47.0,10.0,89.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,48.2,44.7,73.0,16.6,0.6,3280,21.3,11,4,3,5,78,0,0,0,7,0,0,12,350,638.8,499.5,1593.0,273.4,10.8,Aleksandar,Mitrovic,0,15,0,0,0,3,0,1,12,4.2,1,0,0,0,2,0,7.7,7.2,0,90,0,0,0,0,0,0,2,0,0,294873,2,0,2,66.0,2,65,0,0,54,4,134,65
3.0,4.0,85.0,180.0,3062.0,21.2,11.0,11.0,6.0,11.0,39.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,639.0,869.6,1127.3,1569.0,356.9,8.8,3.0,4.0,103.0,138.0,2197.0,13.4,14.0,5.0,2.0,10.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,543.0,725.6,566.0,1291.0,258.0,7.6,2497,17.7,13,12,1,6,31,0,0,0,2,0,0,20,560,808.0,482.4,1319.0,260.6,11.4,Alexandre,Lacazette,0,7,0,1,0,-4,0,0,6,0.5,0,0,0,2,1,0,0.2,0.0,0,36,0,0,0,0,0,0,2,0,0,200168,0,0,2,5.0,1,95,0,0,3,4,166,95
3.0,3.0,53.0,89.0,1456.0,16.8,3.0,5.0,1.0,9.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,352.0,326.4,467.8,592.0,138.7,1.1,3.0,3.0,51.0,89.0,1827.0,17.5,3.0,5.0,0.0,9.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,426.0,430.0,592.9,635.0,165.6,1.0,1961,18.3,3,8,0,4,32,0,0,0,0,0,0,3,382,469.0,596.7,646.0,171.1,1.5,Alex,Iwobi,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,35746,0,0,0,0.0,0,55,0,0,3,3,99,55
20.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,20.0,1.0,44.0,52.0,1620.0,11.8,0.0,0.0,0.0,4.0,26.0,0.0,0.0,0.0,2.0,0.0,42.0,3.0,278.0,280.8,0.0,0.0,28.1,0.8,2250,17.0,0,0,1,4,44,0,0,0,1,0,78,6,414,585.2,0.0,0.0,58.6,2.0,Alex,McCarthy,0,22,0,0,3,34,1,2,10,0.0,0,0,0,0,0,0,4.6,46.0,0,90,0,0,0,0,0,0,9,0,6,31997,0,0,0,0.0,11,45,0,0,20,1,73,45
