name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Ben_Gibson_491,0,0,0,0,0,0,0,0,0,0.0,0,0,491,0,0,313,0,0,0,0.0,17862,0.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,0,0,0,20,0,0,0,0,0,0,32,0,6263,0,0,0,0,2,0.0,0,-56,43,99,48,True,0,0
Ben_Hamer_190,0,36,0,0,0,17,0,1,16,0.0,0,0,190,0,0,315,0,2,0,1.9,17420,19.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,90,0,0,7,0,0,0,0,9,0,32,4,403840,0,0,0,0,2,0.0,2,3543,13186,9643,39,False,0,0
Ben_Johnson_605,0,0,0,0,0,0,0,0,0,0.0,0,0,605,0,0,320,0,0,0,0.0,18028,0.0,0,2019-03-30T17:30:00Z,30 Mar 17:30,0,0,0,0,0,8,0,0,0,0,0,0,32,0,1142,0,0,0,2,0,0.0,0,117,306,189,40,True,0,0
Ben_Mee_70,0,49,0,0,1,26,1,6,32,0.4,1,0,70,0,0,313,1,0,0,2.3,17222,19.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,90,0,0,20,0,0,0,0,4,0,32,0,101906,0,2,0,0,2,4.0,7,-2260,698,2958,46,True,0,0
Ben_White_559,0,0,0,0,0,0,0,0,0,0.0,0,0,559,0,0,265,0,0,0,0.0,17962,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,6,0,0,0,0,0,0,32,0,296,0,0,0,0,3,0.0,0,-2,7,9,40,False,0,0
Ben_Wilmot_544,0,0,0,0,0,0,0,0,0,0.0,0,0,544,0,0,329,0,0,0,0.0,17943,0.0,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,0,0,0,9,0,0,0,0,0,0,32,0,4063,0,0,0,1,4,0.0,0,-162,14,176,40,True,0,0
Beram_Kayal_57,0,0,0,0,0,0,0,0,0,0.0,0,0,57,0,0,265,0,0,0,0.0,17199,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,6,0,0,0,0,0,0,32,0,20008,0,0,0,0,3,0.0,0,-768,86,854,44,False,0,0
Bernardo Mota_Veiga de Carvalho e Silva_276,0,0,0,0,0,0,0,0,0,0.0,0,0,276,0,0,325,0,0,0,0.0,17524,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,5,0,0,0,0,0,0,32,0,525267,0,0,0,0,2,0.0,0,55737,79295,23558,75,True,0,0
Bernardo_Fernandes da Silva Junior_440,0,9,0,0,0,8,0,1,8,1.8,0,0,440,0,0,265,0,0,0,1.7,17785,8.4,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,15,0,0,6,0,0,0,0,3,0,32,0,8138,0,2,0,0,3,7.0,1,660,934,274,42,False,0,0
Bernard_AnÃÂ­cio Caldeira Duarte_507,0,39,0,0,1,32,1,3,28,23.3,3,0,507,0,0,320,1,0,1,12.9,17886,46.8,2,2019-03-30T17:30:00Z,30 Mar 17:30,0,0,90,0,0,19,0,0,0,0,14,0,32,0,11784,5,1,0,2,0,59.0,9,-346,211,557,59,False,0,0
Bernd_Leno_2,0,20,0,0,0,23,1,0,12,0.0,0,0,2,0,0,311,0,0,0,1.0,17132,10.2,0,2019-04-01T19:00:00Z,01 Apr 20:00,0,0,90,0,0,15,0,0,0,0,9,0,32,1,156501,0,0,0,0,2,0.0,6,7170,13360,6190,48,True,0,0
Bobby_Reid_110,0,2,0,0,0,2,0,0,2,0.5,0,0,110,0,0,325,0,0,0,0.1,17285,0.2,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,7,0,0,13,0,0,0,0,1,0,32,0,65573,1,0,0,0,2,0.0,1,-3081,3293,6374,52,False,0,0
Bonatini Lohner Maia_Bonatini_438,0,0,0,0,0,0,0,0,0,0.0,0,0,438,0,0,330,0,0,0,0.0,17782,0.0,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,0,0,0,14,0,0,0,0,0,0,32,0,20940,0,0,0,1,2,0.0,0,-235,15,250,46,True,0,0
