team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,first_name,second_name,assists_1_19_20,bonus_1_19_20,bps_1_19_20,clean_sheets_1_19_20,creativity_1_19_20,goals_conceded_1_19_20,goals_scored_1_19_20,ict_index_1_19_20,influence_1_19_20,minutes_1_19_20,own_goals_1_19_20,penalties_missed_1_19_20,penalties_saved_1_19_20,red_cards_1_19_20,saves_1_19_20,selected_1_19_20,threat_1_19_20,total_points_1_19_20,value_1_19_20,yellow_cards_1_19_20,team_code_19_20,element_type_19_20,total_points_19_20,now_cost_19_20
57.0,2.0,40.0,15.0,562.0,3.8,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,121.0,162.6,12.7,26.0,20.1,0.4,57.0,2.0,41.0,58.0,2206.0,14.1,0.0,0.0,1.0,6.0,43.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,378.0,462.0,59.4,106.0,62.8,4.9,57.0,2.0,42.0,57.0,1924.0,13.6,0.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,334.0,404.6,61.9,79.0,54.5,0.6,1509,6.3,0,0,0,3,33,1,0,0,4,1,0,1,185,216.6,306,117,75.2,302,96,32.0,370,134,31.7,354,128,0.2,Adrian,Mariappa,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,15852,0.0,0,45,0,57,2,26,45
7.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,9.5,1,1,0,2,28,0,0,0,1,0,0,7,224,254.6,273,109,324.1,127,29,67.0,324,110,64.6,253,78,1.0,Ahmed,El Mohamady,0,0,10,0,1.0,3,0,1.4,13.4,90,0,0,0,0,0,112887,0.0,1,45,0,7,2,39,45
3.0,3.0,45.0,1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.2,0.0,0.0,0.2,0.0,3.0,3.0,45.0,25.0,908.0,5.6,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,160.0,168.4,141.3,67.0,37.8,0.1,3.0,3.0,44.0,34.0,983.0,7.7,1.0,1.0,0.0,2.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,152.0,224.2,98.9,126.0,44.8,0.4,1382,9.1,0,2,1,3,22,0,0,0,4,1,0,3,244,301.8,241,94,182.0,216,53,58.0,337,119,53.6,287,94,2.2,Ainsley,Maitland-Niles,1,3,38,1,12.3,0,0,5.1,38.4,90,0,0,0,0,0,57131,0.0,12,50,0,3,2,41,50
21.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,21.0,4.0,49.0,18.0,262.0,3.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,57.8,42.0,143.0,24.0,0.2,21.0,4.0,54.0,19.0,146.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,73.6,56.8,66.0,19.5,0.4,132,1.6,0,0,0,0,3,0,0,0,0,0,0,0,16,5.2,481,66,22.9,400,59,47.0,353,58,7.3,437,60,0.0,Albian,Ajeti,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,3165,0.0,0,60,0,21,4,9,60
45.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2339,15.2,1,1,0,5,44,0,0,0,5,0,0,3,404,358.0,204,83,116.5,261,146,173.0,222,117,64.9,250,121,0.3,Alexander,Tettey,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,10849,0.0,0,45,0,45,3,67,45
21.0,4.0,55.0,18.0,412.0,3.3,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,87.6,36.2,132.0,25.0,0.3,21.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,45.0,1.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,10.3,36.0,4.8,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,581,76,0.0,568,77,0.0,547,74,0.0,583,75,0.9,Alexandre Nascimento,Costa Silva,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,118372,0.0,0,45,0,21,4,0,45
3.0,4.0,85.0,67.0,651.0,7.4,7.0,4.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,258.0,335.8,165.9,436.0,92.9,8.8,3.0,4.0,103.0,138.0,2197.0,13.4,14.0,5.0,2.0,10.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,543.0,725.6,566.0,1291.0,258.0,7.6,3.0,4.0,94.0,166.0,2497.0,17.7,13.0,12.0,1.0,6.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,560.0,808.0,482.4,1319.0,260.6,11.4,1867,12.8,10,7,2,5,25,0,0,0,8,0,0,16,387,536.4,112,15,337.7,124,19,861.0,35,19,173.8,50,19,2.4,Alexandre,Lacazette,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,193916,0.0,0,95,0,3,4,118,95
3.0,3.0,53.0,89.0,1456.0,16.8,3.0,5.0,1.0,9.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,352.0,326.4,467.8,592.0,138.7,1.1,3.0,3.0,51.0,89.0,1827.0,17.5,3.0,5.0,0.0,9.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,426.0,430.0,592.9,635.0,165.6,1.0,3.0,3.0,54.0,99.0,1961.0,18.3,3.0,8.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,382.0,469.0,596.7,646.0,171.1,1.5,1591,9.3,1,0,0,4,30,0,0,0,0,0,0,2,227,246.4,278,113,383.7,105,70,329.0,122,65,95.9,164,84,0.9,Alex,Iwobi,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,128875,0.0,0,60,0,11,3,52,60
20.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,20.0,1.0,44.0,52.0,1620.0,11.8,0.0,0.0,0.0,4.0,26.0,0.0,0.0,0.0,2.0,0.0,42.0,3.0,278.0,280.8,0.0,0.0,28.1,0.8,20.0,1.0,43.0,73.0,2250.0,17.0,0.0,0.0,1.0,4.0,44.0,0.0,0.0,0.0,1.0,0.0,78.0,6.0,414.0,585.2,0.0,0.0,58.6,2.0,2520,23.1,0,0,2,7,35,0,1,0,0,0,79,8,491,652.0,61,14,10.0,429,9,0.0,572,55,66.0,248,14,3.9,Alex,McCarthy,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,45934,0.0,0,45,0,20,1,104,45
3.0,3.0,58.0,83.0,1564.0,14.3,2.0,7.0,1.0,4.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,393.0,435.4,519.9,416.0,137.5,1.4,14.0,3.0,55.0,94.0,1718.0,17.1,3.0,7.0,0.0,5.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,423.0,548.0,625.1,494.0,166.5,2.2,14.0,3.0,64.0,2.0,19.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.2,10.8,19.0,4.0,0.1,1475,12.5,4,1,0,8,12,1,0,0,1,0,0,2,268,300.0,242,98,298.2,141,87,406.0,96,48,99.9,152,78,0.6,Alex,Oxlade-Chamberlain,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,28598,0.0,0,65,0,14,3,76,65
